F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,19,25,T Barron,30,18,185,Running
2,2,3,D Earnhardt,30,0,170,Running
3,1,88,D Jarrett,30,10,170,Running
4,5,24,J Gordon,30,0,160,Running
5,6,6,M Martin,30,0,155,Running
6,11,31,M Skinner,30,2,155,Running
7,10,20,T Stewart,29,0,146,Running
8,9,18,B LaBonte,29,0,142,Running
9,16,40,S Marlin,29,0,138,Running
10,17,10,J Benson,29,0,134,Running
11,12,5,T Labonte,29,0,130,Running
12,15,1,S Park,29,0,127,Running
13,8,99,J Burton,29,0,124,Running
14,3,28,R Rudd,29,0,121,Running
15,14,17,M Kenseth,29,0,118,Running
16,31,60,G Bodine,29,0,115,Running
17,23,26,J Spencer,29,0,112,Running
18,38,7,M Waltrip,29,0,109,Running
19,25,77,R Pressley,29,0,106,Running
20,32,12,J Mayfield,29,0,103,Running
21,36,21,E Sadler,29,0,100,Running
22,20,94,B Elliott,29,0,97,Running
23,30,43,J Andretti,29,0,94,Running
24,28,50,R Craven,29,0,91,Running
25,34,97,C Little,29,0,88,Running
26,27,71,D Marcis,29,0,85,Running
27,37,32,S Pruett,28,0,82,Running
28,26,75,W Dallenbach,28,0,79,Running
29,24,66,D Waltrip,7,0,76,Retired
30,22,11,B Bodine,7,0,73,Retired
31,29,01,T Musgrave,7,0,70,Retired
32,35,93,D Blaney,6,0,67,Retired
33,33,44,K Petty,6,0,64,Retired
34,41,90,R Mast,6,0,61,Clutch
35,40,42,K Irwin Jr.,6,0,58,Ignition
36,21,00,B Jones,6,0,55,Accident
37,18,8,D Earnhardt Jr.,6,0,52,Accident
38,7,22,W Burton,6,0,49,Accident
39,13,02,C Barron,5,0,46,Accident
40,39,9,S Compton,5,0,43,Accident
41,4,2,R Wallace,3,0,40,Retired
