F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,41,23,185,Running
2,2,25,T Barron,41,16,175,Running
3,4,24,J Gordon,41,2,170,Running
4,12,20,T Stewart,41,0,160,Running
5,3,88,D Jarrett,41,0,155,Running
6,7,28,R Rudd,41,0,150,Running
7,16,8,D Earnhardt Jr.,41,0,146,Running
8,24,40,S Marlin,41,0,142,Running
9,25,29,K Harvick,41,0,138,Running
10,18,6,M Martin,41,0,134,Running
11,15,22,W Burton,41,0,130,Running
12,6,17,M Kenseth,41,0,127,Running
13,13,2,R Wallace,41,0,124,Running
14,9,10,J Benson,41,0,121,Running
15,8,99,J Burton,41,0,118,Running
16,28,36,K Schrader,41,0,115,Running
17,11,9,B Elliott,41,0,112,Running
18,29,19,C Atwood,41,0,109,Running
19,30,77,R Pressley,41,0,106,Running
20,14,5,T Labonte,41,0,103,Running
21,5,18,B Labonte,41,0,100,Running
22,22,93,D Blaney,41,0,97,Running
23,39,66,T Bodine,41,0,94,Running
24,10,32,R Craven,41,0,91,Running
25,21,55,B Hamilton,41,0,88,Running
26,17,21,E Sadler,41,0,85,Running
27,20,15,M Waltrip,41,0,82,Running
28,37,1,S Park,41,0,79,Running
29,32,97,K Busch,41,0,76,Running
30,38,4,K Lepage,41,0,73,Running
31,26,26,J Spencer,41,0,70,Running
32,34,11,B Bodine,41,0,67,Running
33,23,01,J Leffler,41,0,64,Running
34,36,7,M Wallace,41,0,61,Running
35,35,12,J Mayfield,41,0,58,Running
36,41,14,R Hornaday,41,0,55,Running
37,27,33,J Nemechek,41,0,52,Running
38,33,92,S Compton,41,0,49,Running
39,42,45,K Petty,41,0,46,Running
40,40,44,B Jones,41,0,43,Running
41,19,43,J Andretti,40,0,40,Running
42,31,27,K Wallace,40,0,37,Running
