F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,7,02,C Barron,29,15,185,Running
2,4,17,M Kenseth,29,0,170,Running
3,26,42,J Nemechek,29,0,165,Running
4,15,33,K Schrader,29,0,160,Running
5,3,88,D Jarrett,29,1,160,Running
6,12,8,D Earnhardt Jr.,29,0,150,Running
7,11,25,T Barron,29,3,151,Running
8,18,4,B Hamilton,29,0,142,Running
9,40,9,J Nadeau,29,0,138,Running
10,21,40,S Marlin,29,0,134,Running
11,14,31,M Skinner,29,0,130,Running
12,17,16,K Lepage,29,0,127,Running
13,33,94,B Elliott,29,2,129,Running
14,19,5,T Labonte,29,0,121,Running
15,34,60,G Bodine,29,0,118,Running
16,25,10,R Rudd,29,0,115,Running
17,30,23,J Spencer,29,0,112,Running
18,8,22,W Burton,29,0,109,Running
19,32,28,K Irwin Jr.,29,0,106,Running
20,10,24,J Gordon,29,0,103,Running
21,16,12,J Mayfield,29,0,100,Running
22,39,66,D Waltrip,29,0,97,Running
23,35,26,J Benson,29,0,94,Running
24,31,7,M Waltrip,29,0,91,Running
25,36,75,T Musgrave,29,0,88,Running
26,1,20,T Stewart,29,0,85,Running
27,2,99,J Burton,29,0,82,Running
28,6,6,M Martin,29,8,84,Running
29,23,98,R Mast,29,0,76,Running
30,5,18,B Labonte,29,0,73,Running
31,28,21,E Sadler,29,0,70,Running
32,22,1,S Park,29,0,67,Running
33,13,2,R Wallace,29,0,64,Running
34,41,11,B Bodine,29,0,61,Running
35,20,55,K Wallace,29,0,58,Running
36,37,36,E Irvan,29,0,55,Running
37,9,3,D Earnhardt,29,0,52,Running
38,38,41,D Green,29,0,49,Running
39,27,43,J Andretti,29,0,46,Running
40,29,44,K Petty,29,0,43,Running
41,24,97,C Little,29,0,40,Running
42,42,45,R Bickle,20,0,37,Piston
