F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,51,27,185,Running
2,4,17,M Kenseth,51,1,175,Running
3,17,24,J Gordon,51,0,165,Running
4,6,28,R Rudd,51,0,160,Running
5,13,77,D Blaney,51,0,155,Running
6,15,15,M Waltrip,51,0,150,Running
7,25,12,R Newman,51,0,146,Running
8,12,20,T Stewart,51,0,142,Running
9,5,99,J Burton,51,0,138,Running
10,19,8,D Earnhardt Jr.,51,0,134,Running
11,27,31,R Gordon,51,0,130,Running
12,8,48,J Johnson,51,0,127,Retired
13,10,40,S Marlin,51,0,124,Running
14,26,32,R Craven,51,0,121,Running
15,31,29,K Harvick,51,0,118,Running
16,30,41,J Spencer,51,0,115,Running
17,34,21,E Sadler,51,0,112,Running
18,18,9,B Elliott,50,0,109,Running
19,14,88,D Jarrett,50,0,106,Running
20,11,2,R Wallace,50,0,103,Accident
21,7,18,B Labonte,50,0,100,Running
22,16,30,J Green,50,1,102,Running
23,9,19,J Mayfield,50,0,94,Running
24,38,4,M Skinner,50,0,91,Running
25,36,45,K Petty,50,0,88,Running
26,33,23,K Wallace,50,0,85,Running
27,39,26,T Bodine,50,0,82,Running
28,42,09,G Bodine,50,0,79,Running
29,2,25,T Barron,49,20,81,Running
30,24,6,M Martin,49,1,78,Accident
31,21,5,T Labonte,49,1,75,Accident
32,28,1,S Park,49,0,67,Valve
33,32,55,B Hamilton,49,0,64,Ignition
34,35,11,B Bodine,49,0,61,Retired
35,3,97,K Busch,49,0,58,Accident
36,41,44,S Grissom,49,0,55,Running
37,22,22,W Burton,48,0,52,Accident
38,29,43,J Andretti,48,0,49,Accident
39,23,10,J Benson,48,0,46,Accident
40,20,36,K Schrader,48,0,43,Accident
41,40,7,C Atwood,48,0,40,Accident
42,37,14,S Compton,48,0,37,Running
