F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,24,25,T Barron,29,13,185,Running
2,5,24,J Gordon,29,0,170,Running
3,11,10,J Benson,29,0,165,Running
4,9,40,S Marlin,29,0,160,Running
5,12,2,R Wallace,29,3,160,Running
6,18,32,R Craven,29,0,150,Running
7,17,9,B Elliott,29,0,146,Running
8,4,8,D Earnhardt Jr.,29,0,142,Running
9,23,36,K Schrader,29,0,138,Running
10,37,90,H Stricklin,29,0,134,Running
11,32,66,T Bodine,29,0,130,Running
12,6,88,D Jarrett,29,0,127,Running
13,25,93,D Blaney,29,0,124,Running
14,2,02,C Barron,29,13,131,Running
15,21,11,B Bodine,29,0,118,Running
16,15,26,J Spencer,29,0,115,Running
17,29,21,E Sadler,29,0,112,Running
18,33,92,S Compton,29,0,109,Running
19,16,22,W Burton,29,0,106,Running
20,14,55,B Hamilton,29,0,103,Running
21,34,33,J Nemechek,29,0,100,Running
22,40,27,K Wallace,29,0,97,Running
23,8,20,T Stewart,28,0,94,Running
24,38,43,J Andretti,28,0,91,Running
25,1,18,B Labonte,17,0,88,Accident
26,41,01,J Leffler,14,0,85,Header
27,31,7,M Wallace,6,0,82,Valve
28,22,5,T Labonte,5,0,79,Camshaft
29,27,15,M Waltrip,3,0,76,Retired
30,28,12,J Mayfield,3,0,73,Retired
31,36,97,K Busch,3,0,70,Retired
32,19,77,R Pressley,2,0,67,Retired
33,10,99,J Burton,2,0,64,Accident
34,13,17,M Kenseth,2,0,61,Accident
35,7,28,R Rudd,2,0,58,Retired
36,3,6,M Martin,2,0,55,Accident
37,20,29,K Harvick,2,0,52,Retired
38,26,19,C Atwood,2,0,49,Retired
39,30,1,S Park,2,0,46,Accident
40,35,14,R Hornaday,2,0,43,Retired
41,39,31,M Skinner,2,0,40,Retired
