F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,15,02,C Barron,30,17,185,Running
2,7,24,J Gordon,30,2,175,Running
3,10,97,K Busch,30,0,165,Running
4,31,41,J Spencer,30,0,160,Running
5,35,4,M Skinner,30,0,155,Running
6,26,40,S Marlin,30,3,155,Running
7,11,17,M Kenseth,30,0,146,Running
8,3,88,D Jarrett,30,0,142,Running
9,22,45,K Petty,30,0,138,Running
10,2,12,R Newman,30,1,139,Running
11,29,22,W Burton,30,0,130,Running
12,34,43,J Andretti,30,0,127,Running
13,8,9,B Elliott,30,0,124,Running
14,13,25,T Barron,30,0,121,Running
15,1,28,R Rudd,30,1,123,Running
16,33,1,S Park,30,0,115,Running
17,20,99,J Burton,30,0,112,Running
18,17,18,B Labonte,30,1,114,Running
19,5,2,R Wallace,30,2,111,Running
20,21,5,T Labonte,30,0,103,Running
21,25,29,K Harvick,30,0,100,Running
22,30,31,R Gordon,30,0,97,Running
23,23,30,J Green,30,1,99,Running
24,16,8,D Earnhardt Jr.,30,0,91,Running
25,9,6,M Martin,30,2,93,Running
26,18,32,R Craven,30,0,85,Running
27,4,48,J Johnson,30,0,82,Running
28,27,19,J Mayfield,30,0,79,Running
29,12,77,D Blaney,30,0,76,Running
30,32,55,B Hamilton,30,0,73,Running
31,6,20,T Stewart,30,0,70,Running
32,36,11,B Bodine,30,0,67,Running
33,40,23,H Stricklin,30,0,64,Running
34,39,7,C Atwood,30,0,61,Running
35,28,36,K Schrader,30,0,58,Running
36,38,26,T Bodine,29,0,55,Running
37,41,09,G Bodine,29,0,52,Running
38,19,21,E Sadler,29,0,49,Running
39,37,14,S Compton,29,0,46,Running
40,42,44,S Grissom,29,0,43,Running
41,14,15,M Waltrip,20,0,40,Retired
42,24,10,J Benson,20,0,37,Retired
