F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,60,43,185,Running
2,6,17,M Kenseth,60,2,175,Running
3,3,48,J Johnson,60,0,165,Running
4,7,20,T Stewart,60,0,160,Running
5,4,97,K Busch,60,0,155,Running
6,11,6,M Martin,60,0,150,Running
7,30,2,R Wallace,60,0,146,Running
8,9,88,D Jarrett,60,0,142,Running
9,16,15,M Waltrip,60,0,138,Running
10,14,99,J Burton,60,0,134,Running
11,12,28,R Rudd,60,0,130,Running
12,1,25,T Barron,60,15,132,Running
13,33,24,J Gordon,60,0,124,Running
14,8,40,S Marlin,60,0,121,Running
15,13,8,D Earnhardt Jr.,60,0,118,Running
16,26,12,R Newman,60,0,115,Running
17,25,18,B Labonte,60,0,112,Running
18,19,30,J Green,60,0,109,Running
19,27,9,B Elliott,60,0,106,Running
20,18,77,D Blaney,60,0,103,Running
21,24,31,R Gordon,60,0,100,Running
22,17,22,W Burton,60,0,97,Running
23,5,21,E Sadler,60,0,94,Running
24,32,45,K Petty,60,0,91,Running
25,28,32,R Craven,60,0,88,Running
26,23,29,K Harvick,60,0,85,Running
27,21,36,K Schrader,59,0,82,Running
28,10,5,T Labonte,59,0,79,Running
29,34,43,J Andretti,59,0,76,Running
30,31,10,J Benson,59,0,73,Running
31,15,4,M Skinner,59,0,70,Running
32,22,55,B Hamilton,59,0,67,Running
33,35,1,S Park,59,0,64,Running
34,20,19,J Mayfield,59,0,61,Running
35,36,7,C Atwood,59,0,58,Running
36,39,26,T Bodine,59,0,55,Running
37,42,23,H Stricklin,59,0,52,Running
38,37,11,B Bodine,59,0,49,Running
39,41,16,G Biffle,58,0,46,Running
40,40,09,G Bodine,58,0,43,Running
41,29,41,J Spencer,57,0,40,Running
42,38,14,S Compton,47,0,37,Piston
