F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,41,26,185,Running
2,1,25,T Barron,41,15,175,Running
3,6,48,J Johnson,41,0,165,Running
4,4,2,R Wallace,41,0,160,Running
5,9,17,M Kenseth,41,0,155,Running
6,7,24,J Gordon,41,0,150,Running
7,19,12,R Newman,41,0,146,Running
8,5,29,K Harvick,41,0,142,Running
9,24,18,B Labonte,41,0,138,Running
10,39,9,B Elliott,41,0,134,Running
11,41,88,D Jarrett,41,0,130,Running
12,23,28,R Rudd,40,0,127,Running
13,16,99,J Burton,40,0,124,Running
14,15,32,R Craven,40,0,121,Running
15,26,45,K Petty,40,0,118,Running
16,3,6,M Martin,40,0,115,Running
17,8,15,M Waltrip,40,0,112,Running
18,11,31,R Gordon,40,0,109,Running
19,22,5,T Labonte,40,0,106,Running
20,20,36,K Schrader,40,0,103,Running
21,10,97,K Busch,40,0,100,Running
22,34,43,J Andretti,40,0,97,Running
23,28,77,D Blaney,40,0,94,Running
24,13,10,J Benson,40,0,91,Running
25,14,30,J Green,40,0,88,Running
26,36,4,M Skinner,40,0,85,Running
27,21,41,J Spencer,40,0,82,Running
28,35,40,S Marlin,40,0,79,Running
29,17,22,W Burton,40,0,76,Running
30,18,21,E Sadler,40,0,73,Running
31,25,1,S Park,40,0,70,Running
32,33,23,K Wallace,40,0,67,Running
33,31,11,B Bodine,39,0,64,Running
34,37,26,T Bodine,39,0,61,Running
35,30,19,J Mayfield,39,0,58,Running
36,29,7,C Atwood,38,0,55,Running
37,12,8,D Earnhardt Jr.,37,0,52,Running
38,38,20,T Stewart,20,0,49,Clutch
39,32,55,B Hamilton,19,0,46,Accident
40,42,09,G Bodine,19,0,43,Accident
41,40,49,S Robinson,19,0,40,Accident
42,27,14,S Compton,19,0,37,Accident
