F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,10,25,T Barron,17,6,185,Running
2,4,88,D Jarrett,17,5,175,Running
3,16,12,J Mayfield,17,0,165,Running
4,19,23,J Spencer,17,0,160,Running
5,6,4,B Hamilton,17,0,155,Running
6,14,33,K Schrader,17,0,150,Running
7,23,01,C Barron,17,3,151,Running
8,34,22,W Burton,17,0,142,Running
9,15,99,J Burton,17,0,138,Running
10,30,7,G Bodine,17,0,134,Running
11,17,21,M Waltrip,17,0,130,Running
12,25,77,R Pressley,17,0,127,Running
13,31,41,S Grissom,17,0,124,Running
14,7,40,S Marlin,17,0,121,Running
15,42,91,K Lepage,17,0,118,Running
16,28,46,W Dallenbach Jr.,17,0,115,Running
17,8,26,J Benson Jr.,17,0,112,Running
18,9,3,D Earnhardt,17,0,109,Running
19,21,59,M Gibson,17,0,106,Running
20,29,28,K Irwin Jr.,17,0,103,Running
21,39,75,R Mast,17,0,100,Running
22,35,5,T Labonte,17,0,97,Running
23,5,6,M Martin,17,0,94,Running
24,41,96,D Green,17,0,91,Running
25,20,9,L Speed,17,0,88,Running
26,40,11,B Bodine,17,0,85,Running
27,1,2,R Wallace,17,0,82,Running
28,12,10,R Rudd,17,0,79,Running
29,27,94,B Elliott,17,0,76,Running
30,3,18,B Labonte,17,0,73,Running
31,22,1,S Park,17,0,70,Running
32,11,43,J Andretti,17,0,67,Running
33,24,97,C Little,17,0,64,Running
34,38,90,D Trickle,17,0,61,Running
35,33,16,T Musgrave,17,0,58,Running
36,37,36,E Irvan,17,0,55,Running
37,13,31,M Skinner,17,0,52,Running
38,2,24,J Gordon,17,3,54,Running
39,26,42,J Nemechek,17,0,46,Running
40,18,44,K Petty,17,0,43,Running
41,32,30,D Cope,16,0,40,Retired
42,36,50,R Craven,15,0,37,Accident
