F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,8,18,B Labonte,49,32,185,Running
2,10,8,D Earnhardt Jr.,49,2,175,Running
3,12,29,K Harvick,49,0,165,Running
4,15,1,S Park,49,0,160,Running
5,6,6,M Martin,49,0,155,Running
6,35,93,D Blaney,49,0,150,Running
7,21,20,T Stewart,49,0,146,Running
8,27,15,M Waltrip,49,0,142,Running
9,31,21,E Sadler,49,0,138,Running
10,14,88,D Jarrett,49,0,134,Running
11,2,25,T Barron,49,3,135,Running
12,3,2,R Wallace,49,4,132,Running
13,25,7,M Wallace,49,0,124,Running
14,28,10,J Benson,49,0,121,Running
15,16,28,R Rudd,49,0,118,Running
16,19,14,R Hornaday,49,0,115,Running
17,22,9,B Elliott,49,0,112,Running
18,7,17,M Kenseth,49,0,109,Running
19,1,02,C Barron,49,8,111,Running
20,11,40,S Marlin,49,0,103,Running
21,33,97,K Busch,48,0,100,Running
22,37,43,J Andretti,48,0,97,Running
23,29,11,B Bodine,48,0,94,Running
24,39,66,T Bodine,48,0,91,Running
25,18,36,K Schrader,48,0,88,Running
26,13,19,C Atwood,48,0,85,Running
27,17,12,J Mayfield,48,0,82,Running
28,5,99,J Burton,48,0,79,Running
29,40,44,B Jones,48,0,76,Running
30,34,01,J Leffler,48,0,73,Running
31,36,45,K Petty,48,0,70,Running
32,4,24,J Gordon,38,0,67,Gearbox
33,38,92,S Compton,1,0,64,Retired
34,24,77,R Pressley,1,0,61,Camshaft
35,9,55,B Hamilton,1,0,58,Accident
36,20,4,K Lepage,0,0,55,Retired
37,23,5,T Labonte,0,0,52,Accident
38,26,32,R Craven,0,0,49,Accident
39,30,22,W Burton,0,0,46,Retired
40,32,26,J Spencer,0,0,43,Accident
