F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,18,02,C Barron,41,11,185,Running
2,8,8,D Earnhardt Jr.,41,11,180,Running
3,1,25,T Barron,41,5,170,Running
4,23,19,J Mayfield,41,0,160,Running
5,6,17,M Kenseth,41,0,155,Running
6,7,48,J Johnson,41,2,155,Running
7,9,29,K Harvick,41,0,146,Running
8,25,5,T Labonte,41,0,142,Running
9,29,1,S Park,41,0,138,Running
10,15,40,S Marlin,41,6,139,Running
11,27,42,J McMurray,41,0,130,Running
12,4,12,R Newman,41,6,132,Running
13,12,9,B Elliott,41,0,124,Running
14,30,38,E Sadler,41,0,121,Running
15,37,0,J Leffler,41,0,118,Running
16,33,23,K Wallace,41,0,115,Running
17,5,20,T Stewart,41,0,112,Running
18,14,16,G Biffle,41,0,109,Running
19,10,22,W Burton,41,0,106,Running
20,38,6,M Martin,41,0,103,Running
21,13,10,J Benson,41,0,100,Running
22,2,99,J Burton,41,0,97,Running
23,36,46,C Long,41,0,94,Running
24,35,4,M Skinner,41,0,91,Running
25,3,97,K Busch,41,0,88,Running
26,28,88,D Jarrett,41,0,85,Running
27,31,30,J Green,41,0,82,Running
28,26,01,J Nadeau,40,0,79,Running
29,39,43,J Andretti,40,0,76,Running
30,17,32,R Craven,40,0,73,Running
31,19,31,R Gordon,39,0,70,Running
32,21,82,T Musgrave,39,0,67,Running
33,42,41,C Beard,38,0,64,Running
34,32,79,B Bigley Jr.,28,0,61,Running
35,11,24,J Gordon,14,0,58,Header
36,16,2,R Wallace,12,0,55,Accident
37,22,54,T Bodine,7,0,52,Retired
38,20,7,J Spencer,7,0,49,Retired
39,34,75,D Starr,6,0,46,Retired
40,41,21,R Rudd,5,0,43,Accident
41,24,18,B Labonte,5,0,40,Accident
42,40,15,M Waltrip,5,0,37,Retired
