F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,18,02,C Barron,14,3,180,Running
2,1,29,K Harvick,14,2,175,Running
3,5,8,D Earnhardt Jr.,14,0,165,Running
4,6,18,B Labonte,14,0,160,Running
5,37,25,T Barron,14,0,155,Running
6,12,6,M Martin,14,0,150,Running
7,9,15,M Waltrip,14,0,146,Running
8,2,12,R Newman,14,0,142,Running
9,8,17,M Kenseth,14,0,138,Running
10,29,40,S Marlin,14,0,134,Running
11,24,0,J Sprague,14,0,130,Running
12,31,7,J Spencer,14,0,127,Clutch
13,30,41,C Mears,14,0,124,Running
14,41,54,T Bodine,14,0,121,Running
15,38,74,T Raines,14,0,118,Running
16,34,77,D Blaney,14,0,115,Running
17,33,47,R Smith,14,0,112,Running
18,14,99,J Burton,14,0,109,Running
19,20,23,K Wallace,14,2,111,Running
20,42,79,B Bigley Jr.,14,0,103,Running
21,3,31,R Gordon,14,0,100,Running
22,4,20,T Stewart,14,7,107,Running
23,15,19,J Mayfield,14,0,94,Running
24,40,48,J Johnson,14,0,91,Running
25,13,42,J McMurray,14,0,88,Running
26,19,10,J Benson,14,0,85,Running
27,10,9,B Elliott,14,0,82,Running
28,28,32,R Craven,14,0,79,Running
29,22,38,E Sadler,14,0,76,Running
30,7,22,W Burton,14,0,73,Running
31,23,97,K Busch,14,0,70,Running
32,17,1,S Park,14,0,67,Running
33,27,16,G Biffle,14,0,64,Running
34,26,88,D Jarrett,14,0,61,Running
35,25,01,J Nadeau,14,0,58,Running
36,39,45,K Petty,13,0,55,Running
37,36,2,R Wallace,9,0,52,Retired
38,35,75,D Starr,8,0,49,Retired
39,21,82,T Musgrave,8,0,46,Valve
40,16,21,R Rudd,8,0,43,Accident
41,11,5,T Labonte,5,0,40,Piston
42,32,24,J Gordon,3,0,37,Accident
