F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,3,20,T Stewart,60,4,180,Running
2,1,17,M Kenseth,60,28,180,Running
3,21,38,E Sadler,60,0,165,Running
4,6,82,T Musgrave,60,0,160,Running
5,2,24,J Gordon,60,0,155,Running
6,4,9,B Elliott,60,0,150,Running
7,9,99,J Burton,60,0,146,Running
8,5,25,T Barron,60,2,147,Running
9,14,21,R Rudd,60,0,138,Running
10,25,16,G Biffle,60,0,134,Running
11,11,22,W Burton,60,0,130,Running
12,19,31,R Gordon,60,0,127,Running
13,13,97,K Busch,60,0,124,Running
14,12,02,C Barron,60,25,126,Running
15,35,29,K Harvick,60,0,118,Running
16,22,19,J Mayfield,60,0,115,Running
17,18,18,B Labonte,60,0,112,Running
18,15,32,R Craven,60,0,109,Running
19,26,40,S Marlin,60,0,106,Running
20,34,5,T Labonte,60,0,103,Running
21,8,48,J Johnson,60,0,100,Running
22,7,10,J Benson,60,0,97,Running
23,20,42,J McMurray,60,0,94,Running
24,38,6,M Martin,60,0,91,Running
25,36,2,R Wallace,60,0,88,Running
26,23,88,D Jarrett,59,0,85,Running
27,31,23,K Wallace,59,0,82,Running
28,39,47,R Smith,59,0,79,Running
29,27,41,C Mears,59,0,76,Running
30,24,01,J Nadeau,59,0,73,Running
31,29,74,T Raines,59,0,70,Running
32,17,46,C Long,59,0,67,Running
33,16,77,D Blaney,59,0,64,Running
34,28,79,B Bigley Jr.,59,0,61,Running
35,33,15,M Waltrip,58,0,58,Running
36,30,49,K Schrader,57,0,55,Fuel Inj
37,32,1,S Park,55,0,52,Accident
38,10,12,R Newman,48,0,49,Tire
39,37,8,D Earnhardt Jr.,46,1,51,Camshaft
