F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,17,M Kenseth,41,13,180,Running
2,2,48,J Johnson,41,15,180,Running
3,6,12,R Newman,41,12,170,Running
4,10,20,T Stewart,41,0,160,Running
5,22,8,D Earnhardt Jr.,41,0,155,Running
6,1,29,K Harvick,41,1,155,Running
7,7,5,T Labonte,41,0,146,Running
8,14,9,B Elliott,41,0,142,Running
9,24,2,R Wallace,41,0,138,Running
10,18,24,J Gordon,41,0,134,Running
11,4,99,J Burton,41,0,130,Running
12,11,42,J McMurray,41,0,127,Running
13,20,21,R Rudd,41,0,124,Running
14,13,40,S Marlin,41,0,121,Running
15,12,16,G Biffle,41,0,118,Running
16,34,15,M Waltrip,41,0,115,Running
17,25,10,J Benson,41,0,112,Running
18,16,18,B Labonte,41,0,109,Running
19,17,38,E Sadler,41,0,106,Running
20,8,22,W Burton,41,0,103,Running
21,21,31,R Gordon,41,0,100,Running
22,27,88,D Jarrett,41,0,97,Running
23,23,6,M Martin,41,0,94,Running
24,9,19,J Mayfield,41,0,91,Running
25,29,82,T Musgrave,41,0,88,Running
26,3,97,K Busch,41,0,85,Running
27,41,25,T Barron,41,0,82,Running
28,35,79,B Bigley Jr.,41,0,79,Running
29,28,30,J Green,41,0,76,Running
30,26,54,T Bodine,41,0,73,Running
31,15,32,R Craven,41,0,70,Running
32,37,74,T Raines,41,0,67,Running
33,32,46,C Long,41,0,64,Running
34,19,47,R Smith,41,0,61,Running
35,39,45,K Petty,41,0,58,Running
36,38,02,C Barron,41,0,55,Running
37,31,01,J Nadeau,40,0,52,Running
38,36,4,M Skinner,40,0,49,Running
39,40,43,J Andretti,40,0,46,Running
40,30,0,J Sprague,24,0,43,Header
41,33,23,K Wallace,9,0,40,Retired
