F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,25,T Barron,45,17,180,Running
2,7,17,M Kenseth,45,1,175,Running
3,9,5,T Labonte,45,0,165,Running
4,5,82,T Musgrave,45,2,165,Running
5,33,4,M Skinner,45,0,155,Running
6,8,24,J Gordon,44,2,155,Running
7,15,12,R Newman,44,0,146,Running
8,26,18,B Labonte,44,0,142,Running
9,11,19,J Mayfield,44,0,138,Running
10,37,6,M Martin,44,0,134,Running
11,10,20,T Stewart,44,0,130,Running
12,1,29,K Harvick,44,0,127,Running
13,13,10,J Benson,44,0,124,Running
14,14,31,R Gordon,44,0,121,Running
15,20,42,J McMurray,44,0,118,Running
16,29,23,K Wallace,44,0,115,Running
17,3,99,J Burton,44,0,112,Running
18,18,40,S Marlin,44,0,109,Running
19,31,7,J Spencer,44,0,106,Running
20,16,21,R Rudd,44,0,103,Running
21,27,88,D Jarrett,44,0,100,Running
22,12,97,K Busch,44,0,97,Running
23,32,1,S Park,44,0,94,Running
24,40,79,B Bigley Jr.,44,0,91,Running
25,19,9,B Elliott,44,0,88,Running
26,17,2,R Wallace,44,0,85,Running
27,21,32,R Craven,44,0,82,Running
28,28,01,J Nadeau,44,0,79,Running
29,24,22,W Burton,44,0,76,Running
30,30,54,T Bodine,44,0,73,Running
31,22,15,M Waltrip,44,0,70,Running
32,34,38,E Sadler,44,0,67,Running
33,41,43,J Andretti,44,0,64,Running
34,36,0,J Sprague,44,0,61,Running
35,39,77,D Blaney,44,0,58,Running
36,35,75,D Starr,44,0,55,Running
37,2,02,C Barron,43,23,62,Running
38,38,8,D Earnhardt Jr.,43,0,49,Running
39,6,48,J Johnson,11,0,46,Accident
40,25,46,C Long,10,0,43,Retired
41,23,16,G Biffle,0,0,40,Gearbox
