F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,8,99,J Burton,30,1,180,Running
2,13,15,M Waltrip,30,0,170,Running
3,39,02,C Barron,30,1,170,Running
4,7,12,R Newman,30,2,165,Running
5,23,32,R Craven,30,0,155,Running
6,10,9,B Elliott,30,0,150,Running
7,6,20,T Stewart,30,1,151,Running
8,42,43,J Andretti,30,0,142,Running
9,16,22,W Burton,30,0,138,Running
10,3,17,M Kenseth,30,6,139,Running
11,5,24,J Gordon,30,3,135,Running
12,21,2,R Wallace,30,0,127,Running
13,24,21,R Rudd,30,0,124,Running
14,41,47,R Smith,30,0,121,Running
15,15,38,E Sadler,30,0,118,Running
16,31,23,K Wallace,30,0,115,Running
17,28,19,J Mayfield,30,0,112,Running
18,11,18,B Labonte,30,2,114,Running
19,33,25,T Barron,30,9,116,Running
20,22,6,M Martin,30,0,103,Running
21,2,29,K Harvick,30,3,105,Running
22,30,41,C Mears,30,0,97,Running
23,27,01,J Nadeau,30,0,94,Running
24,26,77,D Blaney,30,0,91,Running
25,4,5,T Labonte,30,0,88,Running
26,1,48,J Johnson,30,0,85,Running
27,19,10,J Benson Jr.,30,2,87,Running
28,20,16,G Biffle,30,0,79,Running
29,35,79,B Bigley Jr.,30,0,76,Running
30,37,54,T Bodine,30,0,73,Running
31,18,40,S Marlin,30,0,70,Running
32,17,1,S Park,29,0,67,Running
33,25,88,D Jarrett,29,0,64,Running
34,40,49,K Schrader,29,0,61,Running
35,12,42,J McMurray,29,0,58,Running
36,38,7,J Spencer,28,0,55,Running
37,34,82,T Musgrave,19,0,52,Tire
38,29,30,J Green,18,0,49,Retired
39,14,97,K Busch,8,0,46,Accident
40,32,31,R Gordon,7,0,43,Accident
41,36,46,C Long,7,0,40,Accident
42,9,8,D Earnhardt Jr.,0,0,37,Valve
