F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,41,28,185,Running
2,3,48,J Johnson,41,1,175,Running
3,33,17,M Kenseth,41,2,170,Running
4,18,42,J McMurray,41,0,160,Running
5,11,18,B Labonte,41,0,155,Running
6,16,38,E Sadler,41,0,150,Running
7,2,24,J Gordon,41,0,146,Running
8,5,29,K Harvick,41,0,142,Running
9,14,5,T Labonte,41,0,138,Running
10,21,40,S Marlin,41,0,134,Running
11,8,12,R Newman,41,0,130,Running
12,7,9,B Elliott,41,0,127,Running
13,13,22,W Burton,41,0,124,Running
14,37,19,J Mayfield,41,0,121,Running
15,39,82,T Musgrave,41,0,118,Running
16,12,15,M Waltrip,41,0,115,Running
17,42,16,G Biffle,41,0,112,Running
18,26,32,R Craven,41,0,109,Running
19,29,46,C Long,41,0,106,Running
20,9,31,R Gordon,41,0,103,Running
21,38,88,D Jarrett,41,0,100,Running
22,15,30,J Green,41,0,97,Running
23,40,2,R Wallace,41,0,94,Running
24,19,97,K Busch,41,0,91,Running
25,35,0,J Sprague,41,0,88,Running
26,24,6,M Martin,41,0,85,Running
27,10,7,J Spencer,41,0,82,Running
28,25,77,D Blaney,41,0,79,Running
29,36,74,T Raines,41,0,76,Running
30,23,75,D Starr,40,0,73,Running
31,32,02,C Barron,40,0,70,Running
32,34,49,K Schrader,40,0,67,Running
33,4,20,T Stewart,40,4,69,Running
34,6,8,D Earnhardt Jr.,40,6,66,Running
35,22,99,J Burton,40,0,58,Running
36,17,21,R Rudd,40,0,55,Running
37,28,4,M Skinner,40,0,52,Running
38,31,01,J Nadeau,40,0,49,Running
39,30,47,R Smith,28,0,46,Running
40,20,23,K Wallace,26,0,43,Retired
41,27,1,S Park,17,0,40,Piston
42,41,43,J Andretti,3,0,37,Clutch
