F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,41,25,T Barron,56,5,180,Running
2,42,02,C Barron,56,0,170,Running
3,3,24,J Gordon,56,7,170,Running
4,5,9,B Elliott,56,0,160,Running
5,7,8,D Earnhardt Jr.,55,1,160,Running
6,10,18,B Labonte,55,0,150,Running
7,6,17,M Kenseth,55,8,151,Running
8,1,29,K Harvick,55,35,152,Running
9,4,48,J Johnson,55,0,138,Running
10,22,82,T Musgrave,55,0,134,Running
11,18,97,K Busch,55,0,130,Running
12,21,40,S Marlin,55,0,127,Running
13,25,19,J Mayfield,55,0,124,Running
14,9,20,T Stewart,55,0,121,Running
15,13,5,T Labonte,55,0,118,Running
16,17,22,W Burton,55,0,115,Running
17,11,6,M Martin,55,0,112,Running
18,2,12,R Newman,55,0,109,Running
19,12,99,J Burton,55,0,106,Running
20,16,32,R Craven,55,0,103,Running
21,31,88,D Jarrett,55,0,100,Running
22,27,77,D Blaney,55,0,97,Running
23,20,21,R Rudd,55,0,94,Running
24,14,31,R Gordon,55,0,91,Running
25,29,1,S Park,55,0,88,Running
26,15,16,G Biffle,55,0,85,Running
27,35,79,B Bigley Jr.,55,0,82,Running
28,19,30,J Green,55,0,79,Running
29,28,10,J Benson,55,0,76,Running
30,36,2,R Wallace,55,0,73,Running
31,24,54,T Bodine,55,0,70,Running
32,30,42,J McMurray,55,0,67,Running
33,40,75,D Starr,55,0,64,Running
34,34,45,K Petty,55,0,61,Running
35,39,74,T Raines,55,0,58,Running
36,26,4,M Skinner,55,0,55,Running
37,37,47,R Smith,55,0,52,Running
38,38,49,K Schrader,55,0,49,Running
39,33,43,J Andretti,55,0,46,Running
40,8,15,M Waltrip,55,0,43,Running
41,23,38,E Sadler,55,0,40,Running
42,32,0,J Sprague,55,0,37,Running
