F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,10,02,C Barron,59,1,180,Running
2,8,8,D Earnhardt Jr.,59,44,180,Running
3,32,22,W Burton,59,0,165,Running
4,2,48,J Johnson,59,0,160,Running
5,6,97,K Busch,59,0,155,Running
6,19,99,J Burton,59,0,150,Running
7,16,17,M Kenseth,59,0,146,Running
8,25,15,M Waltrip,59,0,142,Running
9,24,29,K Harvick,59,0,138,Running
10,1,20,T Stewart,59,14,139,Running
11,5,12,R Newman,59,0,130,Running
12,17,88,D Jarrett,59,0,127,Running
13,7,82,T Musgrave,59,0,124,Running
14,38,01,J Nadeau,59,0,121,Running
15,39,38,E Sadler,59,0,118,Running
16,13,10,J Benson,59,0,115,Running
17,28,6,M Martin,59,0,112,Running
18,33,79,B Bigley Jr.,59,0,109,Running
19,14,42,J McMurray,59,0,106,Running
20,37,47,R Smith,59,0,103,Running
21,3,25,T Barron,59,0,100,Running
22,29,43,J Andretti,59,0,97,Running
23,11,21,R Rudd,59,0,94,Running
24,22,32,R Craven,59,0,91,Running
25,35,7,J Spencer,59,0,88,Running
26,12,5,T Labonte,58,0,85,Running
27,9,24,J Gordon,58,0,82,Running
28,18,9,B Elliott,58,0,79,Running
29,41,75,D Starr,58,0,76,Running
30,15,16,G Biffle,58,0,73,Running
31,21,19,J Mayfield,58,0,70,Running
32,20,31,R Gordon,58,0,67,Running
33,31,49,K Schrader,58,0,64,Running
34,34,4,M Skinner,58,0,61,Running
35,26,2,R Wallace,57,0,58,Running
36,27,0,J Sprague,47,0,55,Retired
37,42,54,T Bodine,46,0,52,Ignition
38,36,41,C Mears,46,0,49,Retired
39,40,23,K Wallace,45,0,46,Accident
40,30,77,D Blaney,38,0,43,Piston
41,4,18,B Labonte,35,0,40,Ignition
42,23,40,S Marlin,23,0,37,Accident
