F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,39,02,C Barron,60,20,185,Running
2,4,8,D Earnhardt Jr.,60,0,170,Running
3,3,48,J Johnson,60,1,170,Running
4,5,5,T Labonte,60,0,160,Running
5,19,40,S Marlin,60,0,155,Running
6,6,16,G Biffle,60,0,150,Running
7,1,17,M Kenseth,60,16,151,Running
8,11,99,J Burton,60,0,142,Running
9,2,29,K Harvick,60,0,138,Running
10,7,97,K Busch,60,0,134,Running
11,13,19,J Mayfield,60,0,130,Running
12,12,42,J McMurray,60,0,127,Running
13,21,82,T Musgrave,60,0,124,Running
14,10,21,R Rudd,60,0,121,Running
15,16,30,J Green,60,0,118,Running
16,14,12,R Newman,60,0,115,Running
17,15,88,D Jarrett,60,0,112,Running
18,17,1,S Park,60,0,109,Running
19,38,01,J Nadeau,60,0,106,Running
20,32,15,M Waltrip,60,0,103,Running
21,18,2,R Wallace,59,11,105,Running
22,24,6,M Martin,59,0,97,Running
23,27,18,B Labonte,59,0,94,Running
24,22,20,T Stewart,59,12,96,Running
25,34,32,R Craven,59,0,88,Running
26,33,23,K Wallace,59,0,85,Running
27,37,74,T Raines,58,0,82,Running
28,29,22,W Burton,58,0,79,Running
29,23,25,T Barron,56,0,76,Running
30,8,31,R Gordon,45,0,73,Running
31,9,24,J Gordon,38,0,70,Accident
32,25,38,E Sadler,28,0,67,Oil Leak
33,30,9,B Elliott,27,0,64,Accident
34,35,10,J Benson,27,0,61,Retired
35,20,79,B Bigley Jr.,22,0,58,Retired
36,36,77,D Blaney,22,0,55,Accident
37,26,0,J Leffler,21,0,52,Retired
38,28,47,R Smith,21,0,49,Retired
39,31,54,T Bodine,21,0,46,Retired
