F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,23,25,T Barron,24,17,185,Running
2,20,9,B Elliott,24,0,170,Running
3,40,01,J Nadeau,24,0,165,Running
4,41,4,M Skinner,24,0,160,Running
5,6,12,R Newman,24,0,155,Running
6,34,1,S Park,24,0,150,Running
7,28,32,R Craven,24,0,146,Running
8,27,21,R Rudd,24,0,142,Running
9,15,19,J Mayfield,24,0,138,Running
10,8,22,W Burton,24,0,134,Running
11,13,2,R Wallace,24,0,130,Running
12,2,29,K Harvick,24,0,127,Running
13,29,30,J Green,24,0,124,Running
14,9,5,T Labonte,24,0,121,Running
15,1,8,D Earnhardt Jr.,24,1,123,Running
16,4,48,J Johnson,24,0,115,Running
17,24,10,J Benson,24,0,112,Running
18,35,7,J Spencer,24,0,109,Running
19,21,23,K Wallace,24,0,106,Running
20,33,54,T Bodine,24,0,103,Running
21,38,41,C Mears,24,0,100,Running
22,31,75,D Starr,24,0,97,Running
23,39,79,B Bigley Jr.,24,0,94,Running
24,25,6,M Martin,24,0,91,Running
25,42,0,J Leffler,24,0,88,Running
26,36,82,T Musgrave,24,0,85,Running
27,37,46,C Long,24,0,82,Running
28,5,17,M Kenseth,24,0,79,Running
29,11,18,B Labonte,24,1,81,Running
30,26,02,C Barron,24,1,78,Running
31,10,24,J Gordon,24,0,70,Running
32,30,88,D Jarrett,23,4,72,Running
33,7,20,T Stewart,23,0,64,Running
34,14,40,S Marlin,23,0,61,Running
35,3,99,J Burton,23,0,58,Running
36,19,38,E Sadler,23,0,55,Running
37,22,97,K Busch,23,0,52,Running
38,12,42,J McMurray,7,0,49,Retired
39,18,16,G Biffle,6,0,46,Retired
40,17,31,R Gordon,6,0,43,Accident
41,16,15,M Waltrip,6,0,40,Accident
42,32,77,D Blaney,5,0,37,Accident
