F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,21,25,T Barron,75,65,185,Running
2,14,97,K Busch,75,0,170,Running
3,40,7,J Spencer,75,0,165,Running
4,19,0,J Sprague,75,0,160,Running
5,9,21,R Rudd,74,0,155,Running
6,37,10,J Benson,74,0,150,Running
7,38,40,S Marlin,74,0,146,Running
8,34,48,J Johnson,74,0,142,Running
9,17,20,T Stewart,74,0,138,Running
10,25,18,B Labonte,74,0,134,Running
11,26,47,R Smith,74,0,130,Running
12,28,1,S Park,74,0,127,Running
13,12,82,T Musgrave,74,0,124,Running
14,29,02,C Barron,74,0,121,Running
15,36,9,B Elliott,74,0,118,Running
16,4,29,K Harvick,74,1,120,Running
17,33,54,T Bodine,73,0,112,Running
18,27,12,R Newman,73,0,109,Running
19,24,42,J McMurray,73,0,106,Running
20,3,24,J Gordon,73,0,103,Running
21,15,2,R Wallace,73,0,100,Running
22,22,19,J Mayfield,73,0,97,Running
23,11,16,G Biffle,73,0,94,Running
24,35,41,C Mears,73,0,91,Running
25,31,01,J Nadeau,73,0,88,Running
26,6,5,T Labonte,73,0,85,Running
27,39,79,B Bigley Jr.,73,0,82,Running
28,41,45,K Petty,73,0,79,Running
29,2,8,D Earnhardt Jr.,73,0,76,Running
30,32,32,R Craven,72,0,73,Running
31,30,77,D Blaney,72,0,70,Running
32,5,6,M Martin,72,0,67,Running
33,1,99,J Burton,72,9,69,Running
34,16,38,E Sadler,72,0,61,Running
35,8,17,M Kenseth,68,0,58,Running
36,23,31,R Gordon,66,0,55,Retired
37,7,88,D Jarrett,66,0,52,Retired
38,13,15,M Waltrip,48,0,49,Accident
39,20,74,T Raines,14,0,46,Retired
40,10,22,W Burton,12,0,43,Accident
41,18,46,C Long,2,0,40,Retired
