F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,02,C Barron,51,19,180,Running
2,1,8,D Earnhardt Jr.,51,24,180,Running
3,3,9,B Elliott,51,0,165,Running
4,14,24,J Gordon,51,0,160,Running
5,20,99,J Burton,51,0,155,Running
6,8,29,K Harvick,51,0,150,Running
7,2,12,R Newman,51,0,146,Running
8,7,25,T Barron,51,1,147,Running
9,17,19,J Mayfield,51,0,138,Running
10,24,88,D Jarrett,51,0,134,Running
11,16,31,R Gordon,51,0,130,Running
12,35,10,J Benson,51,0,127,Running
13,10,18,B Labonte,51,2,129,Running
14,5,48,J Johnson,51,0,121,Running
15,12,15,M Waltrip,51,3,123,Running
16,19,21,R Rudd,51,0,115,Running
17,29,38,E Sadler,51,0,112,Running
18,36,23,K Wallace,51,0,109,Running
19,18,6,M Martin,51,0,106,Running
20,34,01,J Nadeau,51,0,103,Running
21,27,5,T Labonte,51,0,100,Running
22,28,47,R Smith,51,0,97,Running
23,26,30,J Green,51,0,94,Running
24,22,32,R Craven,51,0,91,Running
25,37,77,D Blaney,51,0,88,Running
26,13,2,R Wallace,51,0,85,Running
27,33,22,W Burton,51,0,82,Running
28,30,43,J Andretti,51,0,79,Running
29,25,40,S Marlin,51,0,76,Running
30,38,7,J Spencer,51,0,73,Running
31,39,4,M Skinner,51,0,70,Running
32,32,0,J Sprague,51,0,67,Running
33,11,17,M Kenseth,50,1,69,Running
34,31,54,T Bodine,50,0,61,Running
35,23,97,K Busch,50,0,58,Running
36,6,20,T Stewart,44,1,60,Piston
37,9,82,T Musgrave,44,0,52,Camshaft
38,21,16,G Biffle,21,0,49,Retired
39,15,42,J McMurray,21,0,46,Accident
40,40,79,B Bigley Jr.,20,0,43,Accident
41,41,45,K Petty,20,0,40,Accident
42,42,41,C Beard,17,0,37,Accident
