F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,24,2,180,Running
2,5,17,M Kenseth,24,0,170,Running
3,9,99,J Burton,24,2,170,Running
4,25,29,K Harvick,24,0,160,Running
5,2,24,J Gordon,24,1,160,Running
6,17,15,M Waltrip,24,0,150,Running
7,13,31,R Gordon,24,0,146,Running
8,21,21,R Rudd,24,0,142,Running
9,11,19,J Mayfield,24,0,138,Running
10,7,5,T Labonte,24,0,134,Running
11,12,9,B Elliott,24,0,130,Running
12,6,12,R Newman,24,0,127,Running
13,42,32,R Craven,24,0,124,Running
14,15,42,J McMurray,24,0,121,Running
15,8,18,B Labonte,24,0,118,Running
16,4,48,J Johnson,24,0,115,Running
17,35,20,T Stewart,24,0,112,Running
18,3,25,T Barron,23,19,119,Running
19,10,40,S Marlin,23,0,106,Running
20,23,1,S Park,23,0,103,Running
21,33,38,E Sadler,23,0,100,Running
22,22,97,K Busch,23,0,97,Running
23,26,88,D Jarrett,23,0,94,Running
24,40,8,D Earnhardt Jr.,23,0,91,Running
25,27,7,J Spencer,23,0,88,Running
26,37,54,T Bodine,23,0,85,Running
27,29,46,C Long,23,0,82,Running
28,30,77,D Blaney,23,0,79,Running
29,19,30,J Green,23,0,76,Running
30,41,2,R Wallace,23,0,73,Running
31,39,43,J Andretti,23,0,70,Running
32,38,01,J Nadeau,23,0,67,Running
33,31,74,T Raines,23,0,64,Running
34,36,49,K Schrader,23,0,61,Running
35,28,79,B Bigley Jr.,23,0,58,Running
36,16,22,W Burton,22,0,55,Accident
37,24,82,T Musgrave,22,0,52,No Fuel
38,18,10,J Benson,22,0,49,Running
39,14,47,R Smith,22,0,46,Accident
40,34,41,C Mears,21,0,43,Accident
41,20,16,G Biffle,1,0,40,Fuel Lk
42,32,6,M Martin,1,0,37,Accident
