F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,8,17,M Kenseth,49,11,185,Running
2,2,9,B Elliott,49,8,175,Running
3,34,8,D Earnhardt Jr.,49,0,165,Running
4,10,5,T Labonte,49,0,160,Running
5,6,29,K Harvick,49,0,155,Running
6,12,99,J Burton,49,0,150,Running
7,29,40,S Marlin,49,0,146,Running
8,39,21,R Rudd,49,0,142,Running
9,15,2,R Wallace,49,0,138,Running
10,30,20,T Stewart,49,0,134,Running
11,19,18,B Labonte,49,0,130,Running
12,25,16,G Biffle,49,0,127,Running
13,1,25,T Barron,49,8,129,Running
14,16,42,J McMurray,49,0,121,Running
15,22,97,K Busch,49,0,118,Running
16,17,22,W Burton,49,0,115,Running
17,5,24,J Gordon,49,0,112,Running
18,28,10,J Benson,49,0,109,Running
19,9,31,R Gordon,49,0,106,Running
20,23,1,S Park,49,0,103,Running
21,7,19,J Mayfield,49,0,100,Running
22,3,15,M Waltrip,49,0,97,Running
23,14,77,D Blaney,49,0,94,Running
24,26,6,M Martin,49,0,91,Running
25,40,54,T Bodine,49,0,88,Running
26,24,32,R Craven,49,0,85,Running
27,32,88,D Jarrett,49,0,82,Running
28,38,01,J Nadeau,49,0,79,Running
29,41,75,D Starr,49,0,76,Running
30,18,82,T Musgrave,49,0,73,Running
31,35,30,J Green,49,0,70,Running
32,27,23,K Wallace,49,0,67,Running
33,37,49,K Schrader,49,0,64,Running
34,13,38,E Sadler,49,0,61,Running
35,33,46,C Long,49,0,58,Running
36,36,43,J Andretti,49,0,55,Running
37,31,45,K Petty,49,0,52,Running
38,4,48,J Johnson,48,11,59,Running
39,21,12,R Newman,48,11,56,Running
40,11,02,C Barron,47,0,43,Running
41,20,74,T Raines,32,0,40,Retired
