F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,29,K Harvick,60,8,180,Running
2,18,9,B Elliott,60,2,175,Running
3,31,82,T Musgrave,60,9,175,Running
4,2,12,R Newman,60,3,165,Running
5,19,8,D Earnhardt Jr.,60,8,160,Running
6,9,31,R Gordon,60,0,150,Running
7,25,88,D Jarrett,60,9,156,Running
8,3,48,J Johnson,60,8,147,Running
9,24,18,B Labonte,60,0,138,Running
10,16,99,J Burton,60,0,134,Running
11,5,20,T Stewart,60,0,130,Running
12,6,2,R Wallace,60,0,127,Running
13,7,42,J McMurray,60,0,124,Running
14,12,38,E Sadler,60,3,126,Running
15,27,01,J Nadeau,60,0,118,Running
16,30,1,S Park,60,0,115,Running
17,14,24,J Gordon,60,1,117,Running
18,40,54,T Bodine,60,0,109,Running
19,32,23,K Wallace,60,0,106,Running
20,13,21,R Rudd,60,0,103,Running
21,1,25,T Barron,60,8,105,Running
22,39,77,D Blaney,60,0,97,Running
23,22,10,J Benson,60,0,94,Running
24,15,17,M Kenseth,60,0,91,Running
25,34,47,R Smith,60,0,88,Running
26,10,74,T Raines,60,0,85,Running
27,36,0,J Sprague,59,0,82,Running
28,29,79,B Bigley Jr.,59,0,79,Running
29,20,40,S Marlin,59,0,76,Running
30,41,41,C Mears,59,0,73,Running
31,38,45,K Petty,59,0,70,Running
32,17,19,J Mayfield,59,0,67,Running
33,42,97,K Busch,59,0,64,Running
34,23,32,R Craven,40,0,61,Camshaft
35,37,30,J Green,40,0,58,Accident
36,33,75,D Starr,40,0,55,Retired
37,8,5,T Labonte,34,0,52,Retired
38,35,6,M Martin,33,0,49,Valve
39,28,15,M Waltrip,33,0,46,Accident
40,26,16,G Biffle,33,0,43,Accident
41,11,02,C Barron,30,1,45,Valve
42,21,22,W Burton,20,0,37,Retired
