F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,7,15,M Waltrip,47,5,180,Running
2,6,2,R Wallace,47,0,170,Running
3,20,8,D Earnhardt Jr.,47,0,165,Running
4,14,9,B Elliott,47,0,160,Running
5,5,5,T Labonte,47,0,155,Running
6,3,29,K Harvick,47,0,150,Running
7,17,12,R Newman,47,0,146,Running
8,8,6,M Martin,47,0,142,Running
9,2,20,T Stewart,47,42,148,Running
10,15,16,G Biffle,47,0,134,Running
11,36,02,C Barron,47,0,130,Running
12,11,48,J Johnson,47,0,127,Running
13,4,24,J Gordon,47,0,124,Running
14,18,42,J McMurray,47,0,121,Running
15,13,18,B Labonte,47,0,118,Running
16,9,99,J Burton,47,0,115,Running
17,37,97,K Busch,47,0,112,Running
18,12,19,J Mayfield,47,0,109,Running
19,16,77,D Blaney,47,0,106,Running
20,33,38,E Sadler,47,0,103,Running
21,22,54,T Bodine,47,0,100,Running
22,32,21,R Rudd,47,0,97,Running
23,41,49,K Schrader,47,0,94,Running
24,10,17,M Kenseth,47,0,91,Running
25,34,75,D Starr,47,0,88,Running
26,39,45,K Petty,47,0,85,Running
27,27,10,J Benson,47,0,82,Running
28,40,41,C Mears,47,0,79,Running
29,29,74,T Raines,47,0,76,Running
30,30,88,D Jarrett,47,0,73,Running
31,35,1,S Park,47,0,70,Running
32,26,40,S Marlin,47,0,67,Running
33,28,0,J Leffler,47,0,64,Running
34,23,25,T Barron,47,0,61,Running
35,31,22,W Burton,46,0,58,Running
36,1,82,T Musgrave,46,0,55,Running
37,24,23,K Wallace,43,0,52,Running
38,38,79,B Bigley Jr.,38,0,49,Running
39,21,01,J Nadeau,18,0,46,Header
40,19,31,R Gordon,7,0,43,Valve
41,25,32,R Craven,7,0,40,Ignition
