F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,25,T Barron,17,16,185,Running
2,16,2,R Wallace,17,0,170,Running
3,2,29,K Harvick,17,0,165,Running
4,13,31,R Gordon,17,0,160,Running
5,20,20,T Stewart,17,0,155,Running
6,28,17,M Kenseth,17,0,150,Running
7,23,40,S Marlin,17,0,146,Running
8,1,48,J Johnson,17,1,147,Running
9,6,18,B Labonte,17,0,138,Running
10,12,02,C Barron,17,0,134,Running
11,17,22,W Burton,17,0,130,Running
12,34,10,J Benson,17,0,127,Running
13,26,99,J Burton,17,0,124,Running
14,15,15,M Waltrip,17,0,121,Running
15,38,46,C Long,17,0,118,Running
16,39,30,J Green,17,0,115,Running
17,18,21,R Rudd,17,0,112,Running
18,10,24,J Gordon,17,0,109,Running
19,22,38,E Sadler,17,0,106,Running
20,9,9,B Elliott,17,0,103,Running
21,11,42,J McMurray,17,0,100,Running
22,21,5,T Labonte,17,0,97,Running
23,7,8,D Earnhardt Jr.,17,0,94,Running
24,27,32,R Craven,17,0,91,Running
25,24,1,S Park,17,0,88,Running
26,35,77,D Blaney,17,0,85,Running
27,4,12,R Newman,17,0,82,Running
28,29,4,M Skinner,17,0,79,Running
29,31,54,T Bodine,17,0,76,Running
30,41,16,G Biffle,17,0,73,Running
31,36,23,K Wallace,17,0,70,Running
32,33,01,J Nadeau,17,0,67,Running
33,37,75,D Starr,17,0,64,Running
34,25,88,D Jarrett,17,0,61,Running
35,42,45,K Petty,17,0,58,Running
36,32,47,R Smith,17,0,55,Running
37,30,0,J Sprague,17,0,52,Running
38,40,74,T Raines,17,0,49,Running
39,19,82,T Musgrave,17,0,46,Running
40,8,6,M Martin,4,0,43,Retired
41,14,97,K Busch,3,0,40,Camshaft
42,3,19,J Mayfield,1,0,37,Accident
