F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,16,5,T Labonte,60,4,180,Running
2,5,12,R Newman,60,10,175,Running
3,15,9,B Elliott,60,0,165,Running
4,10,99,J Burton,60,0,160,Running
5,3,20,T Stewart,60,0,155,Running
6,24,18,B Labonte,60,0,150,Running
7,17,8,D Earnhardt Jr.,60,0,146,Running
8,23,16,G Biffle,60,0,142,Running
9,22,31,R Gordon,60,0,138,Running
10,14,6,M Martin,60,0,134,Running
11,13,29,K Harvick,60,12,135,Running
12,18,02,C Barron,60,0,127,Running
13,9,15,M Waltrip,60,0,124,Running
14,8,24,J Gordon,60,0,121,Running
15,38,19,J Mayfield,60,0,118,Running
16,7,2,R Wallace,60,0,115,Running
17,4,82,T Musgrave,60,0,112,Running
18,21,10,J Benson,60,0,109,Running
19,29,22,W Burton,60,0,106,Running
20,37,40,S Marlin,60,0,103,Running
21,12,75,D Starr,60,0,100,Running
22,28,79,B Bigley Jr.,60,0,97,Running
23,32,54,T Bodine,60,0,94,Running
24,31,38,E Sadler,60,0,91,Running
25,26,21,R Rudd,60,0,88,Running
26,20,32,R Craven,60,0,85,Running
27,1,25,T Barron,59,7,87,Running
28,30,7,J Spencer,59,0,79,Running
29,27,1,S Park,59,0,76,Running
30,39,46,C Long,59,0,73,Running
31,33,01,J Nadeau,59,0,70,Running
32,35,23,K Wallace,59,0,67,Running
33,11,48,J Johnson,59,0,64,Running
34,34,4,M Skinner,59,0,61,Running
35,36,0,J Sprague,58,0,58,Running
36,2,42,J McMurray,58,1,60,Running
37,25,88,D Jarrett,57,0,52,Running
38,19,97,K Busch,57,0,49,Running
39,6,17,M Kenseth,36,26,56,Header
