F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,51,28,185,Running
2,2,02,C Barron,51,17,175,Running
3,3,17,M Kenseth,51,4,170,Running
4,23,5,T Labonte,51,0,160,Running
5,4,24,J Gordon,51,0,155,Running
6,6,48,J Johnson,51,1,155,Running
7,7,20,T Stewart,51,0,146,Running
8,19,22,W Burton,51,0,142,Running
9,24,12,R Newman,51,0,138,Running
10,5,29,K Harvick,51,0,134,Running
11,15,42,J McMurray,51,0,130,Running
12,27,97,K Busch,50,0,127,Running
13,14,9,B Elliott,50,1,129,Running
14,16,18,B Labonte,50,0,121,Running
15,10,99,J Burton,50,0,118,Running
16,35,16,G Biffle,50,0,115,Running
17,22,38,E Sadler,50,0,112,Running
18,32,6,M Martin,50,0,109,Running
19,34,19,J Mayfield,50,0,106,Running
20,12,21,R Rudd,50,0,103,Running
21,40,15,M Waltrip,50,0,100,Running
22,17,10,J Benson,50,0,97,Running
23,9,40,S Marlin,50,0,94,Running
24,29,77,D Blaney,50,0,91,Running
25,8,8,D Earnhardt Jr.,50,0,88,Running
26,41,1,S Park,50,0,85,Running
27,26,32,R Craven,50,0,82,Running
28,36,23,K Wallace,50,0,79,Running
29,28,47,R Smith,50,0,76,Running
30,31,0,J Sprague,50,0,73,Running
31,37,41,C Mears,50,0,70,Running
32,38,49,K Schrader,50,0,67,Running
33,39,43,J Andretti,50,0,64,Running
34,30,7,J Spencer,50,0,61,Running
35,21,31,R Gordon,49,0,58,Susp
36,20,54,T Bodine,49,0,55,Running
37,18,01,J Nadeau,49,0,52,Running
38,13,88,D Jarrett,48,0,49,Running
39,25,46,C Long,45,0,46,Running
40,33,2,R Wallace,31,0,43,Piston
41,42,75,D Starr,31,0,40,Accident
42,11,82,T Musgrave,31,0,37,Piston
