F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,37,02,C Barron,30,8,180,Running
2,3,17,M Kenseth,30,3,175,Running
3,10,48,J Johnson,30,0,165,Running
4,4,8,D Earnhardt Jr.,30,0,160,Running
5,5,29,K Harvick,30,0,155,Running
6,1,12,R Newman,30,0,150,Running
7,2,25,T Barron,30,18,156,Running
8,18,9,B Elliott,30,0,142,Running
9,6,5,T Labonte,30,0,138,Running
10,9,99,J Burton,30,0,134,Running
11,8,42,J McMurray,30,0,130,Running
12,7,18,B Labonte,30,0,127,Running
13,20,2,R Wallace,30,0,124,Running
14,21,20,T Stewart,30,0,121,Running
15,15,97,K Busch,30,0,118,Running
16,25,24,J Gordon,30,0,115,Running
17,19,40,S Marlin,30,0,112,Running
18,11,31,R Gordon,30,0,109,Running
19,35,10,J Benson,30,0,106,Running
20,13,15,M Waltrip,30,0,103,Running
21,12,16,G Biffle,30,0,100,Running
22,24,82,T Musgrave,30,0,97,Running
23,22,22,W Burton,30,0,94,Running
24,28,6,M Martin,30,0,91,Running
25,29,21,R Rudd,30,0,88,Running
26,16,38,E Sadler,30,0,85,Running
27,34,01,J Nadeau,30,0,82,Running
28,31,46,C Long,30,0,79,Running
29,33,1,S Park,30,0,76,Running
30,39,75,D Starr,30,0,73,Running
31,27,19,J Mayfield,30,0,70,Running
32,17,23,K Wallace,30,1,72,Running
33,14,32,R Craven,30,0,64,Running
34,32,77,D Blaney,30,0,61,Running
35,26,88,D Jarrett,30,0,58,Running
36,23,30,J Green,30,0,55,Running
37,41,79,B Bigley Jr.,30,0,52,Running
38,38,41,C Mears,30,0,49,Running
39,42,4,M Skinner,30,0,46,Running
40,36,74,T Raines,30,0,43,Running
41,40,0,J Sprague,30,0,40,Running
42,30,49,K Schrader,30,0,37,Running
