F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,18,20,T Stewart,75,1,180,Running
2,11,19,J Mayfield,75,11,175,Running
3,9,97,K Busch,75,1,170,Running
4,10,12,R Newman,75,0,160,Running
5,27,7,C Atwood,75,0,155,Running
6,7,6,M Martin,75,0,150,Running
7,17,43,J Andretti,75,0,146,Running
8,6,99,J Burton,75,0,142,Running
9,24,55,B Hamilton,75,0,138,Running
10,36,26,T Bodine,75,0,134,Running
11,15,31,R Gordon,75,0,130,Running
12,39,15,M Waltrip,75,0,127,Running
13,1,02,C Barron,74,51,134,Running
14,41,40,S Marlin,74,0,121,Retired
15,5,77,D Blaney,74,0,118,Running
16,3,30,J Green,74,0,115,Running
17,22,41,J Spencer,74,0,112,Running
18,19,10,J Benson,74,0,109,Running
19,2,25,T Barron,74,0,106,Running
20,14,17,M Kenseth,73,11,108,Running
21,25,36,K Schrader,73,0,100,Running
22,4,2,R Wallace,73,0,97,Running
23,13,45,K Petty,73,0,94,Running
24,20,14,S Compton,73,0,91,Running
25,40,24,J Gordon,73,0,88,Running
26,33,23,K Wallace,73,0,85,Running
27,37,48,J Johnson,73,0,82,Running
28,31,9,B Elliott,73,0,79,Running
29,35,8,D Earnhardt Jr.,73,0,76,Running
30,23,4,M Skinner,73,0,73,Running
31,8,18,B Labonte,73,0,70,Running
32,29,28,R Rudd,73,0,67,Running
33,32,11,B Bodine,73,0,64,Running
34,34,5,T Labonte,72,0,61,Running
35,16,1,S Park,72,0,58,Running
36,12,32,R Craven,72,0,55,Running
37,28,22,W Burton,72,0,52,Running
38,38,09,G Bodine,72,0,49,Running
39,26,88,D Jarrett,51,0,46,Accident
40,30,21,E Sadler,50,0,43,Accident
41,21,29,K Harvick,14,0,40,Accident
