F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,26,02,C Barron,30,8,180,Running
2,7,24,J Gordon,30,0,170,Running
3,8,99,J Burton,30,2,170,Running
4,12,2,R Wallace,30,0,160,Running
5,2,97,K Busch,30,0,155,Running
6,14,28,R Rudd,30,0,150,Running
7,5,12,R Newman,30,0,146,Running
8,1,48,J Johnson,30,0,142,Running
9,6,17,M Kenseth,30,0,138,Running
10,13,15,M Waltrip,30,0,134,Running
11,24,6,M Martin,30,0,130,Running
12,3,9,B Elliott,30,0,127,Running
13,25,22,W Burton,30,0,124,Running
14,23,30,J Green,30,0,121,Running
15,35,43,J Andretti,30,0,118,Running
16,21,5,T Labonte,30,0,115,Running
17,39,77,D Blaney,30,0,112,Running
18,17,19,J Mayfield,30,0,109,Running
19,11,88,D Jarrett,30,0,106,Running
20,22,31,R Gordon,30,0,103,Running
21,10,20,T Stewart,30,0,100,Running
22,41,4,M Skinner,30,0,97,Running
23,18,18,B Labonte,30,0,94,Running
24,29,41,J Spencer,30,0,91,Running
25,28,55,B Hamilton,30,0,88,Running
26,16,10,J Benson,30,0,85,Running
27,37,23,K Wallace,30,0,82,Running
28,33,11,B Bodine,30,0,79,Running
29,38,14,S Compton,30,0,76,Running
30,32,36,K Schrader,30,0,73,Running
31,27,1,S Park,29,0,70,Running
32,36,26,T Bodine,29,0,67,Running
33,40,16,G Biffle,29,0,64,Running
34,42,09,G Bodine,29,0,61,Running
35,4,25,T Barron,23,20,68,Accident
36,19,40,S Marlin,22,0,55,Piston
37,31,21,E Sadler,22,0,52,Camshaft
38,30,29,K Harvick,22,0,49,Camshaft
39,15,45,K Petty,22,0,46,Accident
40,20,32,R Craven,22,0,43,Accident
41,9,8,D Earnhardt Jr.,22,0,40,Accident
42,34,7,C Atwood,21,0,37,Accident
