F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,56,20,185,Running
2,2,02,C Barron,56,1,175,Running
3,3,20,T Stewart,56,0,165,Running
4,9,12,R Newman,56,13,165,Running
5,7,6,M Martin,56,14,160,Running
6,12,97,K Busch,56,0,150,Running
7,21,77,D Blaney,56,0,146,Running
8,42,24,J Gordon,56,0,142,Running
9,14,2,R Wallace,56,0,138,Running
10,23,32,R Craven,56,1,139,Running
11,5,48,J Johnson,56,0,130,Running
12,29,30,J Green,56,0,127,Running
13,19,45,K Petty,56,0,124,Running
14,17,18,B Labonte,56,0,121,Running
15,4,17,M Kenseth,56,0,118,Running
16,32,22,W Burton,56,0,115,Running
17,16,99,J Burton,56,7,117,Running
18,33,5,T Labonte,56,0,109,Running
19,24,4,M Skinner,56,0,106,Running
20,20,43,J Andretti,56,0,103,Running
21,31,29,K Harvick,56,0,100,Running
22,25,41,J Spencer,56,0,97,Running
23,30,19,J Mayfield,56,0,94,Running
24,13,88,D Jarrett,56,0,91,Running
25,34,1,S Park,56,0,88,Running
26,36,11,B Bodine,56,0,85,Running
27,26,55,B Hamilton,56,0,82,Running
28,10,40,S Marlin,56,0,79,Running
29,38,14,S Compton,56,0,76,Running
30,18,31,R Gordon,55,0,73,Running
31,37,7,C Atwood,55,0,70,Running
32,27,36,K Schrader,55,0,67,Running
33,39,23,H Stricklin,55,0,64,Running
34,11,9,B Elliott,55,0,61,Running
35,22,10,J Benson,55,0,58,Running
36,35,26,T Bodine,55,0,55,Running
37,41,44,S Grissom,54,0,52,Running
38,40,67,B Said,54,0,49,Running
39,15,21,E Sadler,54,0,46,Running
40,28,15,M Waltrip,50,0,43,Ignition
41,6,28,R Rudd,22,0,40,Header
42,8,8,D Earnhardt Jr.,21,0,37,Header
