F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,45,37,185,Running
2,3,01,C Barron,45,8,175,Running
3,5,6,M Martin,44,0,165,Running
4,2,24,J Gordon,44,0,160,Running
5,6,99,J Burton,44,0,155,Running
6,12,2,R Wallace,44,0,150,Running
7,11,88,D Jarrett,44,0,146,Running
8,24,21,M Waltrip,44,0,142,Running
9,9,3,D Earnhardt,43,0,138,Running
10,4,12,J Mayfield,43,0,134,Running
11,10,16,T Musgrave,43,0,130,Running
12,27,97,C Little,43,0,127,Running
13,13,40,S Marlin,43,0,124,Running
14,14,22,W Burton,43,0,121,Running
15,18,33,K Schrader,43,0,118,Running
16,29,4,B Hamilton,43,0,115,Running
17,23,11,B Bodine,43,0,112,Running
18,8,94,B Elliott,43,0,109,Running
19,7,18,B Labonte,43,0,106,Running
20,20,5,T Labonte,43,0,103,Running
21,36,7,G Bodine,43,0,100,Running
22,28,31,M Skinner,43,0,97,Running
23,16,26,J Benson Jr.,43,0,94,Running
24,31,10,R Rudd,43,0,91,Running
25,26,50,R Craven,43,0,88,Running
26,38,28,K Irwin Jr.,43,0,85,Running
27,30,41,S Grissom,43,0,82,Running
28,39,42,J Nemechek,43,0,79,Running
29,17,36,E Irvan,43,0,76,Running
30,25,77,R Pressley,43,0,73,Running
31,21,1,S Park,43,0,70,Running
32,15,90,D Trickle,43,0,67,Running
33,35,44,K Petty,43,0,64,Running
34,41,9,L Speed,43,0,61,Running
35,42,75,R Mast,43,0,58,Running
36,40,30,D Cope,43,0,55,Running
37,33,46,W Dallenbach Jr.,42,0,52,Running
38,37,81,K Wallace,42,0,49,Running
39,34,91,K Lepage,42,0,46,Running
40,22,59,M Gibson,42,0,43,Running
41,32,43,J Andretti,42,0,40,Running
42,19,23,J Spencer,42,0,37,Running
