F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,3,24,J Gordon,56,15,180,Running
2,9,88,D Jarrett,56,0,170,Running
3,10,2,R Wallace,56,0,165,Running
4,4,6,M Martin,56,31,170,Running
5,6,12,J Mayfield,56,0,155,Running
6,16,99,J Burton,56,1,155,Running
7,22,26,J Benson Jr.,56,0,146,Running
8,17,40,S Marlin,56,0,142,Running
9,28,59,M Gibson,56,0,138,Running
10,2,25,T Barron,56,9,139,Running
11,21,7,G Bodine,56,0,130,Running
12,39,44,K Petty,56,0,127,Running
13,26,91,K Lepage,56,0,124,Running
14,37,30,D Cope,56,0,121,Running
15,18,97,C Little,56,0,118,Running
16,42,96,D Green,56,0,115,Running
17,36,41,S Grissom,56,0,112,Running
18,38,13,J Nadeau,56,0,109,Running
19,40,50,R Craven,56,0,106,Running
20,20,10,R Rudd,56,0,103,Running
21,33,35,T Bodine,56,0,100,Running
22,1,01,C Barron,55,0,97,Running
23,41,42,J Nemechek,55,0,94,Running
24,7,94,B Elliott,55,0,91,Running
25,5,18,B Labonte,55,0,88,Running
26,12,3,D Earnhardt,55,0,85,Running
27,23,5,T Labonte,55,0,82,Running
28,13,23,J Spencer,55,0,79,Running
29,8,43,J Andretti,55,0,76,Running
30,34,90,D Trickle,55,0,73,Running
31,14,11,B Bodine,55,0,70,Running
32,15,1,S Park,55,0,67,Running
33,25,4,B Hamilton,55,0,64,Running
34,19,36,E Irvan,55,0,61,Running
35,31,16,T Musgrave,55,0,58,Running
36,30,33,K Schrader,44,0,55,Retired
37,11,22,W Burton,44,0,52,Accident
38,24,21,M Waltrip,19,0,49,Accident
39,27,81,K Wallace,19,0,46,Retired
40,32,77,R Pressley,19,0,43,Retired
41,29,31,M Skinner,19,0,40,Accident
42,35,28,K Irwin Jr.,19,0,37,Accident
