F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,75,33,185,Running
2,8,30,J Green,75,26,175,Running
3,4,25,T Barron,75,16,170,Running
4,5,8,D Earnhardt Jr.,75,0,160,Running
5,26,18,B Labonte,75,0,155,Running
6,14,99,J Burton,75,0,150,Running
7,10,97,K Busch,75,0,146,Running
8,11,12,R Newman,75,0,142,Running
9,18,24,J Gordon,75,0,138,Running
10,23,32,R Craven,75,0,134,Running
11,20,5,T Labonte,75,0,130,Running
12,9,2,R Wallace,74,0,127,Running
13,24,17,M Kenseth,74,0,124,Running
14,27,4,M Skinner,74,0,121,Running
15,2,6,M Martin,74,0,118,Running
16,12,21,E Sadler,74,0,115,Running
17,36,55,B Hamilton,74,0,112,Running
18,3,88,D Jarrett,74,0,109,Running
19,38,26,T Bodine,74,0,106,Running
20,7,20,T Stewart,73,0,103,Running
21,17,41,J Spencer,73,0,100,Running
22,33,28,R Rudd,73,0,97,Running
23,13,22,W Burton,73,0,94,Running
24,41,44,B Jones,73,0,91,Running
25,29,7,C Atwood,72,0,88,Running
26,22,9,B Elliott,72,0,85,Running
27,39,1,S Park,72,0,82,Running
28,42,09,G Bodine,70,0,79,Running
29,28,10,J Benson,68,0,76,Running
30,37,45,K Petty,65,0,73,Running
31,40,14,S Compton,42,0,70,Retired
32,15,48,J Johnson,29,0,67,Retired
33,16,19,J Mayfield,29,0,64,Retired
34,21,15,M Waltrip,29,0,61,Retired
35,6,29,K Harvick,29,0,58,Retired
36,35,31,R Gordon,28,0,55,Retired
37,34,40,S Marlin,28,0,52,Accident
38,32,36,K Schrader,28,0,49,Retired
39,31,11,B Bodine,28,0,46,Retired
40,30,77,D Blaney,28,0,43,Retired
41,25,23,H Stricklin,27,0,40,Retired
42,19,43,J Andretti,26,0,37,Retired
