F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,7,25,T Barron,45,29,185,Running
2,14,20,T Stewart,45,0,170,Running
3,16,40,S Marlin,45,0,165,Running
4,2,18,B Labonte,45,0,160,Running
5,3,24,J Gordon,45,0,155,Running
6,15,29,K Harvick,45,0,150,Running
7,4,6,M Martin,45,0,146,Running
8,8,2,R Wallace,45,0,142,Running
9,25,88,D Jarrett,45,0,138,Running
10,6,26,J Spencer,45,0,134,Running
11,19,22,W Burton,44,0,130,Running
12,21,10,J Benson,44,0,127,Running
13,9,28,R Rudd,44,0,124,Running
14,10,17,M Kenseth,44,0,121,Running
15,12,8,D Earnhardt Jr.,44,0,118,Running
16,11,99,J Burton,44,0,115,Running
17,5,9,B Elliott,44,0,112,Running
18,36,5,T Labonte,44,0,109,Running
19,23,77,R Pressley,44,0,106,Running
20,30,32,R Craven,44,0,103,Running
21,40,15,M Waltrip,43,0,100,Running
22,18,33,J Nemechek,43,0,97,Running
23,33,97,K Busch,43,0,94,Running
24,28,43,J Andretti,43,0,91,Running
25,35,36,K Schrader,43,0,88,Running
26,13,1,S Park,43,0,85,Running
27,20,93,D Blaney,43,0,82,Running
28,17,55,B Hamilton,43,0,79,Running
29,34,21,E Sadler,43,0,76,Running
30,32,19,C Atwood,43,0,73,Running
31,37,7,M Wallace,43,0,70,Running
32,26,90,H Stricklin,43,0,67,Running
33,29,11,B Bodine,43,0,64,Running
34,31,01,J Leffler,43,0,61,Running
35,38,31,M Skinner,43,0,58,Running
36,22,92,S Compton,43,0,55,Running
37,27,12,J Mayfield,43,0,52,Running
38,41,4,K Lepage,43,0,49,Running
39,39,14,R Hornaday,43,0,46,Running
40,24,66,T Bodine,43,0,43,Running
41,42,45,K Petty,43,0,40,Running
42,1,02,C Barron,25,16,42,Accident
