F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,21,20,T Stewart,60,12,180,Running
2,5,24,J Gordon,60,0,170,Running
3,13,10,J Benson,60,0,165,Running
4,19,99,J Burton,60,0,160,Running
5,6,88,D Jarrett,60,0,155,Running
6,22,29,K Harvick,60,0,150,Running
7,7,6,M Martin,60,0,146,Running
8,9,18,B Labonte,60,11,147,Running
9,10,36,K Schrader,60,0,138,Running
10,16,26,J Spencer,60,0,134,Running
11,35,21,E Sadler,60,0,130,Running
12,27,1,S Park,60,0,127,Running
13,26,5,T Labonte,60,0,124,Running
14,3,28,R Rudd,60,4,126,Running
15,18,40,S Marlin,60,0,118,Running
16,17,22,W Burton,60,0,115,Running
17,15,9,B Elliott,60,0,112,Running
18,31,11,B Bodine,60,0,109,Running
19,20,19,C Atwood,60,0,106,Running
20,25,66,T Bodine,60,0,103,Running
21,8,93,D Blaney,60,0,100,Running
22,2,25,T Barron,59,25,107,Running
23,32,97,K Busch,59,0,94,Running
24,29,14,R Hornaday,59,0,91,Running
25,4,2,R Wallace,59,0,88,Running
26,34,4,K Lepage,59,0,85,Running
27,33,27,K Wallace,59,0,82,Running
28,39,15,M Waltrip,59,0,79,Running
29,36,01,J Leffler,59,0,76,Running
30,28,43,J Andretti,59,0,73,Running
31,24,8,D Earnhardt Jr.,59,0,70,Running
32,30,12,J Mayfield,59,0,67,Running
33,38,92,S Compton,59,0,64,Running
34,23,7,M Wallace,59,0,61,Running
35,12,55,B Hamilton,59,0,58,Running
36,37,33,J Nemechek,58,0,55,Running
37,11,17,M Kenseth,56,0,52,Clutch
38,1,02,C Barron,42,8,54,Disco
39,14,32,R Craven,14,0,46,Retired
