F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,24,25,T Barron,24,9,185,Running
2,4,48,J Johnson,24,0,170,Running
3,12,32,R Craven,24,0,165,Running
4,19,19,J Mayfield,24,3,165,Running
5,5,97,K Busch,24,0,155,Running
6,29,43,J Andretti,24,0,150,Running
7,22,31,R Gordon,24,0,146,Running
8,7,24,J Gordon,24,0,142,Running
9,14,28,R Rudd,24,0,138,Running
10,9,12,R Newman,24,0,134,Running
11,25,10,J Benson,24,0,130,Running
12,2,2,R Wallace,24,0,127,Running
13,16,99,J Burton,24,0,124,Running
14,15,17,M Kenseth,24,0,121,Running
15,38,1,S Park,24,0,118,Running
16,23,30,J Green,23,0,115,Running
17,3,6,M Martin,23,0,112,Running
18,27,36,K Schrader,23,0,109,Running
19,11,18,B Labonte,23,4,111,Running
20,1,20,T Stewart,22,1,108,Running
21,40,02,C Barron,21,0,100,Running
22,13,77,D Blaney,14,0,97,Retired
23,8,88,D Jarrett,14,5,99,Retired
24,20,45,K Petty,14,0,91,Header
25,10,9,B Elliott,14,0,88,Piston
26,28,22,W Burton,12,0,85,Accident
27,17,15,M Waltrip,9,2,87,Retired
28,6,8,D Earnhardt Jr.,7,0,79,Accident
29,36,7,C Atwood,6,0,76,Accident
30,32,55,B Hamilton,6,0,73,Accident
31,37,14,S Compton,6,0,70,Accident
32,42,09,G Bodine,6,0,67,Accident
33,21,40,S Marlin,3,0,64,Retired
34,31,41,J Spencer,3,0,61,Retired
35,26,21,E Sadler,2,0,58,Retired
36,30,5,T Labonte,2,0,55,Retired
37,18,29,K Harvick,2,0,52,Accident
38,33,4,M Skinner,1,0,49,Retired
39,35,26,T Bodine,1,0,46,Retired
40,39,23,H Stricklin,1,0,43,Retired
41,34,11,B Bodine,1,0,40,Retired
42,41,44,S Grissom,1,0,37,Retired
