F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,37,25,T Barron,17,4,180,Running
2,35,02,C Barron,17,0,170,Running
3,34,17,M Kenseth,17,0,165,No Fuel
4,6,99,J Burton,17,0,160,Running
5,7,88,D Jarrett,17,9,165,Running
6,3,6,M Martin,17,0,150,Running
7,10,20,T Stewart,17,0,146,Running
8,14,44,K Petty,17,0,142,Running
9,16,55,K Wallace,17,0,138,Running
10,22,4,B Hamilton,17,0,134,Running
11,5,23,J Spencer,17,0,130,Running
12,38,97,C Little,17,0,127,Running
13,23,1,S Park,17,0,124,Running
14,42,94,B Elliott,17,0,121,Running
15,39,8,D Earnhardt Jr.,17,0,118,Running
16,32,60,G Bodine,17,0,115,Running
17,20,66,D Waltrip,17,0,112,Running
18,30,11,B Bodine,17,0,109,Running
19,28,75,T Musgrave,17,0,106,Running
20,8,98,R Mast,17,0,103,Running
21,18,42,J Nemechek,17,0,100,Running
22,15,43,J Andretti,17,0,97,Running
23,11,28,K Irwin Jr.,17,0,94,Running
24,31,18,B Labonte,17,0,91,Running
25,13,31,M Skinner,17,0,88,Running
26,24,9,J Nadeau,17,0,85,Running
27,27,41,D Green,17,0,82,Running
28,25,22,W Burton,17,0,79,Running
29,4,24,J Gordon,17,0,76,Running
30,19,5,T Labonte,17,0,73,Running
31,33,36,E Irvan,17,0,70,Running
32,12,40,S Marlin,17,0,67,Running
33,40,10,R Rudd,17,0,64,Running
34,2,12,J Mayfield,15,0,61,Running
35,29,33,K Schrader,15,0,58,Running
36,26,26,J Benson,15,0,55,Running
37,1,3,D Earnhardt,14,4,57,Running
38,41,77,R Pressley,14,0,49,Running
39,9,7,M Waltrip,12,0,46,Susp
40,17,21,E Sadler,9,0,43,Retired
41,21,2,R Wallace,4,0,40,Clutch
42,36,16,K Lepage,3,0,37,Clutch
