F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,3,02,C Barron,41,11,180,Running
2,1,25,T Barron,41,21,180,Running
3,2,40,S Marlin,40,9,170,Running
4,8,2,R Wallace,40,0,160,Running
5,11,88,D Jarrett,40,0,155,Running
6,6,8,D Earnhardt Jr.,40,0,150,Running
7,12,20,T Stewart,40,0,146,Running
8,16,28,R Rudd,40,0,142,Running
9,4,24,J Gordon,40,0,138,Running
10,5,18,B Labonte,40,0,134,Running
11,25,17,M Kenseth,40,0,130,Running
12,9,29,K Harvick,40,0,127,Running
13,19,6,M Martin,40,0,124,Running
14,10,9,B Elliott,40,0,121,Running
15,13,55,B Hamilton,39,0,118,Running
16,7,99,J Burton,39,0,115,Running
17,18,22,W Burton,39,0,112,Running
18,23,77,R Pressley,39,0,109,Running
19,29,26,J Spencer,39,0,106,Running
20,22,97,K Busch,39,0,103,Running
21,21,11,B Bodine,39,0,100,Running
22,39,21,E Sadler,39,0,97,Running
23,14,36,K Schrader,39,0,94,Running
24,31,19,C Atwood,39,0,91,Running
25,28,15,M Waltrip,39,0,88,Running
26,17,5,T Labonte,39,0,85,Running
27,26,32,R Craven,39,0,82,Running
28,34,43,J Andretti,39,0,79,Running
29,37,1,S Park,39,0,76,Running
30,27,92,S Compton,39,0,73,Running
31,24,66,T Bodine,39,0,70,Running
32,32,7,M Wallace,39,0,67,Running
33,36,90,H Stricklin,39,0,64,Running
34,15,33,J Nemechek,39,0,61,Running
35,30,12,J Mayfield,39,0,58,Running
36,20,93,D Blaney,39,0,55,Running
37,35,14,R Hornaday,39,0,52,Running
38,33,31,M Skinner,39,0,49,Running
39,38,10,J Benson,37,0,46,Running
40,40,44,B Jones,36,0,43,Running
