F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,56,3,180,Running
2,1,25,T Barron,56,4,175,Running
3,4,6,M Martin,56,15,170,Running
4,22,28,R Rudd,56,0,160,Running
5,6,20,T Stewart,56,0,155,Running
6,10,24,J Gordon,56,0,150,Running
7,19,18,B Labonte,56,0,146,Running
8,3,48,J Johnson,56,26,152,Running
9,11,17,M Kenseth,56,7,143,Running
10,20,32,R Craven,55,0,134,Running
11,13,99,J Burton,55,0,130,Running
12,17,8,D Earnhardt Jr.,55,0,127,Running
13,27,9,B Elliott,55,0,124,Running
14,21,22,W Burton,55,0,121,Running
15,29,15,M Waltrip,55,1,123,Running
16,12,30,J Green,55,0,115,Running
17,30,29,K Harvick,55,0,112,Running
18,9,12,R Newman,55,0,109,Running
19,8,88,D Jarrett,55,0,106,Running
20,18,45,K Petty,55,0,103,Running
21,28,5,T Labonte,55,0,100,Running
22,32,55,B Hamilton,55,0,97,Running
23,16,77,D Blaney,55,0,94,Running
24,34,41,J Spencer,55,0,91,Running
25,33,10,J Benson,55,0,88,Running
26,42,36,K Schrader,55,0,85,Running
27,23,19,J Mayfield,55,0,82,Running
28,25,43,J Andretti,55,0,79,Running
29,31,31,R Gordon,55,0,76,Running
30,7,21,E Sadler,55,0,73,Running
31,35,11,B Bodine,55,0,70,Running
32,5,97,K Busch,55,0,67,Running
33,15,40,S Marlin,55,0,64,Running
34,39,7,C Atwood,55,0,61,Running
35,36,23,H Stricklin,55,0,58,Running
36,40,49,S Robinson,55,0,55,Running
37,26,4,M Skinner,54,0,52,Running
38,14,2,R Wallace,54,0,49,Running
39,37,14,S Compton,54,0,46,Running
40,38,26,T Bodine,27,0,43,Retired
41,24,1,S Park,26,0,40,Accident
42,41,44,S Grissom,26,0,37,Accident
