F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,51,28,185,Running
2,16,97,K Busch,50,0,170,Running
3,30,99,J Burton,50,0,165,Running
4,5,2,R Wallace,49,0,160,Running
5,12,17,M Kenseth,49,0,155,Running
6,3,88,D Jarrett,49,0,150,Running
7,2,25,T Barron,49,20,151,Running
8,15,9,B Elliott,49,0,142,Running
9,7,28,R Rudd,49,0,138,Running
10,8,12,R Newman,49,0,134,Running
11,22,40,S Marlin,49,0,130,Running
12,27,29,K Harvick,49,0,127,Running
13,18,18,B Labonte,49,0,124,Running
14,32,21,E Sadler,49,0,121,Running
15,34,30,J Green,49,0,118,Running
16,26,8,D Earnhardt Jr.,49,0,115,Running
17,6,6,M Martin,49,0,112,Running
18,29,32,R Craven,49,0,109,Running
19,20,45,K Petty,49,0,106,Running
20,13,77,D Blaney,49,0,103,Running
21,21,48,J Johnson,49,0,100,Running
22,17,31,R Gordon,49,0,97,Running
23,14,15,M Waltrip,49,0,94,Running
24,38,19,J Mayfield,49,0,91,Running
25,28,10,J Benson,49,0,88,Running
26,24,41,J Spencer,49,0,85,Running
27,31,55,B Hamilton,49,0,82,Running
28,25,22,W Burton,49,0,79,Running
29,11,36,K Schrader,49,0,76,Running
30,36,1,S Park,49,0,73,Running
31,33,7,C Atwood,49,0,70,Running
32,35,11,B Bodine,49,0,67,Running
33,23,43,J Andretti,49,0,64,Running
34,39,23,H Stricklin,49,0,61,Running
35,9,26,T Bodine,48,0,58,Running
36,37,14,S Compton,48,0,55,Running
37,19,4,M Skinner,48,0,52,Running
38,40,44,S Grissom,48,0,49,Running
39,42,09,G Bodine,48,0,46,Running
40,4,24,J Gordon,20,2,48,Piston
41,10,5,T Labonte,1,1,45,Accident
42,41,20,T Stewart,0,0,37,Ignition
