F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,6,M Martin,24,3,180,Running
2,3,48,J Johnson,24,3,175,Running
3,2,2,R Wallace,24,0,165,Running
4,13,02,C Barron,24,9,170,Running
5,28,31,R Gordon,24,0,155,Running
6,29,32,R Craven,24,0,150,Running
7,11,97,K Busch,24,0,146,Running
8,4,20,T Stewart,24,0,142,Running
9,22,45,K Petty,24,0,138,Running
10,16,15,M Waltrip,24,0,134,Running
11,18,28,R Rudd,24,0,130,Running
12,6,40,S Marlin,24,0,127,Running
13,9,8,D Earnhardt Jr.,24,0,124,Running
14,23,5,T Labonte,24,0,121,Running
15,25,19,J Mayfield,24,0,118,Running
16,8,24,J Gordon,24,0,115,Running
17,26,30,J Green,24,0,112,Running
18,20,18,B Labonte,24,0,109,Running
19,17,9,B Elliott,24,0,106,Running
20,31,43,J Andretti,24,0,103,Running
21,39,29,K Harvick,24,0,100,Running
22,1,12,R Newman,24,0,97,Running
23,37,7,C Atwood,24,0,94,Running
24,24,22,W Burton,24,0,91,Running
25,19,99,J Burton,24,5,93,Running
26,7,77,D Blaney,24,0,85,Running
27,35,55,B Hamilton,24,0,82,Running
28,14,25,T Barron,24,4,84,Running
29,30,1,S Park,24,0,76,Running
30,42,16,G Biffle,23,0,73,Running
31,27,4,M Skinner,22,0,70,Retired
32,15,21,E Sadler,22,0,67,Fuel Lk
33,38,23,K Wallace,21,0,64,Retired
34,40,14,S Compton,21,0,61,Accident
35,34,11,B Bodine,21,0,58,Clutch
36,41,09,G Bodine,21,0,55,Retired
37,32,36,K Schrader,19,0,52,Accident
38,12,17,M Kenseth,7,0,49,Retired
39,21,41,J Spencer,5,0,46,Accident
40,33,10,J Benson,5,0,43,Accident
41,36,26,T Bodine,5,0,40,Retired
42,10,88,D Jarrett,2,0,37,Retired
