F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,02,C Barron,60,60,185,Running
2,5,25,T Barron,60,0,170,Running
3,37,21,E Sadler,59,0,165,Running
4,6,20,T Stewart,59,0,160,Running
5,23,9,B Elliott,59,0,155,Running
6,25,22,W Burton,59,0,150,Running
7,17,29,K Harvick,59,0,146,Running
8,18,2,R Wallace,58,0,142,Running
9,3,48,J Johnson,58,0,138,Running
10,4,28,R Rudd,58,0,134,Running
11,22,17,M Kenseth,58,0,130,Running
12,7,45,K Petty,58,0,127,Running
13,38,5,T Labonte,58,0,124,Running
14,16,32,R Craven,58,0,121,Running
15,26,18,B Labonte,58,0,118,Running
16,9,41,J Spencer,58,0,115,Running
17,27,1,S Park,58,0,112,Running
18,13,19,J Mayfield,57,0,109,Retired
19,2,12,R Newman,57,0,106,Running
20,34,4,M Skinner,57,0,103,Running
21,15,6,M Martin,57,0,100,Running
22,8,97,K Busch,57,0,97,Running
23,14,88,D Jarrett,57,0,94,Running
24,12,24,J Gordon,57,0,91,Running
25,35,40,S Marlin,57,0,88,Running
26,28,31,R Gordon,57,0,85,Running
27,11,15,M Waltrip,57,0,82,Running
28,21,43,J Andretti,57,0,79,Running
29,20,30,J Green,57,0,76,Running
30,32,99,J Burton,57,0,73,Running
31,31,55,B Hamilton,57,0,70,Running
32,29,7,C Atwood,57,0,67,Running
33,30,26,T Bodine,57,0,64,Running
34,39,14,S Compton,56,0,61,Running
35,36,10,J Benson,56,0,58,Running
36,10,8,D Earnhardt Jr.,54,0,55,Camshaft
37,33,11,B Bodine,53,0,52,Gearbox
38,24,77,D Blaney,37,0,49,Camshaft
39,19,36,K Schrader,30,0,46,Ignition
