F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,18,25,T Barron,75,42,185,Running
2,1,02,C Barron,75,33,175,Running
3,8,6,M Martin,75,0,165,Running
4,23,23,J Spencer,75,0,160,Running
5,7,3,D Earnhardt,75,0,155,Running
6,4,40,S Marlin,75,0,150,Running
7,15,20,T Stewart,75,0,146,Running
8,33,26,J Benson,75,0,142,Running
9,9,24,J Gordon,75,0,138,Running
10,13,33,K Schrader,75,0,134,Running
11,26,98,R Mast,74,0,130,Running
12,38,8,D Earnhardt Jr.,74,0,127,Running
13,27,44,K Petty,74,0,124,Running
14,41,42,J Nemechek,74,0,121,Running
15,10,1,S Park,74,0,118,Running
16,30,31,M Skinner,74,0,115,Running
17,28,28,K Irwin Jr.,74,0,112,Running
18,24,60,G Bodine,74,0,109,Running
19,25,16,K Lepage,74,0,106,Running
20,40,9,J Nadeau,74,0,103,Running
21,17,55,K Wallace,74,0,100,Running
22,36,11,B Bodine,74,0,97,Running
23,37,66,D Waltrip,74,0,94,Running
24,21,97,C Little,73,0,91,Running
25,39,36,E Irvan,73,0,88,Running
26,20,43,J Andretti,73,0,85,Running
27,11,5,T Labonte,73,0,82,Running
28,6,18,B Labonte,73,0,79,Running
29,29,77,R Pressley,73,0,76,Running
30,3,2,R Wallace,73,0,73,Running
31,19,17,M Kenseth,73,0,70,Running
32,14,12,J Mayfield,72,0,67,Running
33,34,4,B Hamilton,72,0,64,Running
34,2,88,D Jarrett,72,0,61,Running
35,12,22,W Burton,72,0,58,Running
36,5,99,J Burton,71,0,55,Running
37,16,10,R Rudd,71,0,52,Running
38,35,94,B Elliott,67,0,49,Retired
39,22,21,E Sadler,49,0,46,Retired
40,32,7,M Waltrip,26,0,43,Accident
41,31,75,T Musgrave,14,0,40,Accident
