F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,49,47,185,Running
2,36,99,J Burton,49,0,170,Running
3,18,22,W Burton,49,0,165,Running
4,27,10,J Benson,49,0,160,Running
5,5,02,C Barron,49,0,155,Running
6,40,14,S Compton,49,0,150,Running
7,28,7,C Atwood,49,0,146,Running
8,39,31,R Gordon,49,0,142,Running
9,33,26,T Bodine,48,0,138,Running
10,19,19,J Mayfield,48,0,134,Running
11,42,44,S Grissom,48,0,130,Running
12,31,9,B Elliott,48,0,127,Running
13,41,09,G Bodine,48,0,124,Running
14,30,77,D Blaney,48,0,121,Running
15,38,5,T Labonte,48,0,118,Running
16,37,45,K Petty,48,0,115,Running
17,13,28,R Rudd,48,0,112,Running
18,29,55,B Hamilton,48,0,109,Running
19,23,88,D Jarrett,48,0,106,Running
20,14,32,R Craven,48,0,103,Running
21,25,18,B Labonte,48,0,100,Running
22,24,21,E Sadler,48,0,97,Running
23,12,20,T Stewart,48,0,94,Running
24,35,23,H Stricklin,48,0,91,Running
25,21,36,K Schrader,48,0,88,Running
26,3,48,J Johnson,48,0,85,Running
27,10,97,K Busch,48,0,82,Running
28,20,15,M Waltrip,48,0,79,Running
29,17,1,S Park,48,0,76,Running
30,4,12,R Newman,47,0,73,Running
31,6,30,J Green,47,0,70,Running
32,11,40,S Marlin,47,0,67,Running
33,9,29,K Harvick,47,0,64,Running
34,7,2,R Wallace,47,0,61,Running
35,2,24,J Gordon,47,2,63,Running
36,8,8,D Earnhardt Jr.,47,0,55,Running
37,34,4,M Skinner,45,0,52,Running
38,32,11,B Bodine,43,0,49,Running
39,16,41,J Spencer,7,0,46,Retired
40,15,6,M Martin,7,0,43,Retired
41,22,43,J Andretti,7,0,40,Retired
42,26,17,M Kenseth,6,0,37,Retired
