F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,3,02,C Barron,60,46,185,Running
2,7,24,J Gordon,60,1,175,Running
3,4,20,T Stewart,60,0,165,Running
4,13,28,R Rudd,60,0,160,Running
5,39,97,K Busch,60,0,155,Running
6,16,18,B Labonte,60,0,150,Running
7,14,9,B Elliott,60,0,146,Running
8,25,8,D Earnhardt Jr.,60,0,142,Running
9,23,30,J Green,60,0,138,Running
10,6,15,M Waltrip,60,0,134,Running
11,9,45,K Petty,60,0,130,Running
12,8,25,T Barron,59,7,132,Running
13,5,2,R Wallace,59,0,124,Running
14,1,12,R Newman,59,6,126,Running
15,10,48,J Johnson,59,0,118,Running
16,17,88,D Jarrett,59,0,115,Running
17,2,99,J Burton,59,0,112,Running
18,22,6,M Martin,59,0,109,Running
19,21,31,R Gordon,59,0,106,Running
20,15,40,S Marlin,59,0,103,Running
21,27,5,T Labonte,59,0,100,Running
22,12,10,J Benson,59,0,97,Running
23,29,19,J Mayfield,59,0,94,Running
24,28,41,J Spencer,59,0,91,Running
25,38,55,B Hamilton,59,0,88,Running
26,32,43,J Andretti,59,0,85,Running
27,35,36,K Schrader,59,0,82,Running
28,24,22,W Burton,59,0,79,Running
29,30,4,M Skinner,59,0,76,Running
30,37,26,T Bodine,59,0,73,Running
31,34,11,B Bodine,59,0,70,Running
32,33,21,E Sadler,59,0,67,Running
33,36,29,K Harvick,58,0,64,Running
34,20,17,M Kenseth,58,0,61,Running
35,26,1,S Park,58,0,58,Running
36,31,23,K Wallace,58,0,55,Running
37,11,32,R Craven,57,0,52,No Fuel
38,19,7,C Atwood,56,0,49,Accident
39,18,77,D Blaney,35,0,46,Susp
