F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,34,02,C Barron,47,2,180,Running
2,7,2,R Wallace,47,0,170,Running
3,12,88,D Jarrett,47,2,170,Running
4,9,8,D Earnhardt Jr.,47,0,160,Running
5,25,25,T Barron,47,2,160,Running
6,6,48,J Johnson,47,0,150,Running
7,13,6,M Martin,47,0,146,Running
8,10,97,K Busch,47,0,142,Running
9,1,24,J Gordon,47,0,138,Running
10,15,31,R Gordon,47,0,134,Running
11,20,28,R Rudd,47,0,130,Running
12,5,17,M Kenseth,47,0,127,Running
13,3,12,R Newman,47,0,124,Running
14,11,21,E Sadler,47,0,121,Running
15,19,32,R Craven,47,0,118,Running
16,18,29,K Harvick,47,0,115,Running
17,22,36,K Schrader,47,0,112,Running
18,17,30,J Green,47,0,109,Running
19,16,5,T Labonte,47,0,106,Running
20,24,40,S Marlin,47,0,103,Running
21,14,15,M Waltrip,47,0,100,Running
22,31,19,J Mayfield,47,0,97,Running
23,21,22,W Burton,47,0,94,Running
24,32,1,S Park,47,0,91,Running
25,38,4,M Skinner,47,0,88,Running
26,27,55,B Hamilton,47,0,85,Running
27,26,41,J Spencer,47,0,82,Running
28,33,45,K Petty,47,0,79,Running
29,30,10,J Benson,47,0,76,Running
30,29,9,B Elliott,47,0,73,Running
31,8,77,D Blaney,47,0,70,Running
32,28,18,B Labonte,47,0,67,Running
33,23,7,C Atwood,47,0,64,Running
34,40,16,G Biffle,47,2,66,Running
35,39,14,S Compton,47,0,58,Running
36,41,11,B Bodine,46,0,55,Running
37,42,44,S Grissom,46,0,52,Running
38,37,26,T Bodine,46,0,49,Running
39,2,20,T Stewart,44,39,56,Running
40,4,99,J Burton,44,0,43,Running
41,35,23,K Wallace,30,0,40,Gearbox
42,36,43,J Andretti,20,0,37,Clutch
