F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,38,3,180,Running
2,1,25,T Barron,38,35,180,Running
3,9,6,M Martin,37,0,165,Running
4,8,88,D Jarrett,37,0,160,Running
5,16,18,B Labonte,37,0,155,Running
6,25,1,S Park,37,0,150,Running
7,15,24,J Gordon,37,0,146,Running
8,5,22,W Burton,37,0,142,Running
9,10,20,T Stewart,37,0,138,Running
10,4,4,B Hamilton,37,0,134,Running
11,30,5,T Labonte,37,0,130,Running
12,21,43,J Andretti,37,0,127,Running
13,34,28,K Irwin Jr.,37,0,124,Running
14,3,3,D Earnhardt,37,0,121,Running
15,24,33,K Schrader,37,0,118,Running
16,28,16,K Lepage,37,0,115,Running
17,18,31,M Skinner,37,0,112,Running
18,6,2,R Wallace,37,0,109,Running
19,17,26,J Benson,37,0,106,Running
20,27,75,T Musgrave,37,0,103,Running
21,33,97,C Little,37,0,100,Running
22,31,44,K Petty,37,0,97,Running
23,11,8,D Earnhardt Jr.,37,0,94,Running
24,29,60,G Bodine,37,0,91,Running
25,20,21,E Sadler,37,0,88,Running
26,19,42,J Nemechek,37,0,85,Running
27,13,55,K Wallace,37,0,82,Running
28,38,36,E Irvan,37,0,79,Running
29,40,11,B Bodine,37,0,76,Running
30,7,17,M Kenseth,37,0,73,Running
31,39,66,D Waltrip,36,0,70,Running
32,42,71,D Marcis,36,0,67,Running
33,36,77,R Pressley,36,0,64,Running
34,37,40,S Marlin,36,0,61,Running
35,12,99,J Burton,34,0,58,Running
36,14,12,J Mayfield,18,0,55,Accident
37,22,23,J Spencer,17,0,52,Accident
38,32,7,M Waltrip,17,0,49,Accident
39,35,98,R Mast,17,0,46,Header
40,41,9,J Nadeau,17,0,43,Accident
41,26,94,B Elliott,17,0,40,Accident
42,23,10,R Rudd,17,0,37,Accident
