F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,8,25,T Barron,24,1,180,Running
2,10,99,J Burton,24,0,170,Running
3,6,02,C Barron,24,16,175,Running
4,13,24,J Gordon,24,4,165,Running
5,11,2,R Wallace,24,1,160,Running
6,20,28,K Irwin Jr.,24,0,150,Running
7,21,16,K Lepage,24,0,146,Running
8,27,55,K Wallace,24,0,142,Running
9,16,31,M Skinner,24,0,138,Running
10,1,20,T Stewart,24,1,139,Running
11,26,5,T Labonte,24,0,130,Running
12,23,21,E Sadler,24,0,127,Running
13,5,3,D Earnhardt,24,0,124,Running
14,25,60,G Bodine,24,0,121,Running
15,12,33,K Schrader,24,0,118,Running
16,24,94,B Elliott,24,0,115,Running
17,14,4,B Hamilton,24,0,112,Running
18,36,42,J Nemechek,24,0,109,Running
19,19,1,S Park,24,0,106,Running
20,4,18,B Labonte,24,0,103,Running
21,7,17,M Kenseth,24,0,100,Running
22,31,7,M Waltrip,24,0,97,Running
23,39,11,B Bodine,24,0,94,Running
24,17,23,J Spencer,24,0,91,Running
25,38,66,D Waltrip,24,0,88,Running
26,37,75,T Musgrave,24,0,85,Running
27,3,6,M Martin,24,1,87,Running
28,15,8,D Earnhardt Jr.,24,0,79,Running
29,28,43,J Andretti,24,0,76,Running
30,34,9,J Nadeau,24,0,73,Running
31,18,12,J Mayfield,24,0,70,Running
32,30,98,R Mast,24,0,67,Running
33,40,36,E Irvan,24,0,64,Running
34,41,45,R Bickle,24,0,61,Running
35,33,44,K Petty,24,0,58,Running
36,9,22,W Burton,24,0,55,Running
37,22,26,J Benson,24,0,52,Running
38,29,97,C Little,24,0,49,Running
39,32,40,S Marlin,24,0,46,Running
40,42,58,R Craven,23,0,43,Running
41,35,10,R Rudd,23,0,40,Running
42,2,88,D Jarrett,20,0,37,Running
