F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,01,C Barron,30,14,180,Running
2,1,25,T Barron,30,15,180,Running
3,3,24,J Gordon,30,1,170,Running
4,13,6,M Martin,30,0,160,Running
5,5,2,R Wallace,30,0,155,Running
6,35,22,W Burton,30,0,150,Running
7,8,33,K Schrader,30,0,146,Running
8,14,21,M Waltrip,30,0,142,Running
9,9,5,T Labonte,30,0,138,Running
10,7,97,C Little,30,0,134,Running
11,10,88,D Jarrett,30,0,130,Running
12,19,18,B Labonte,30,0,127,Running
13,27,36,E Irvan,30,0,124,Running
14,28,10,R Rudd,30,0,121,Running
15,30,16,T Musgrave,30,0,118,Running
16,21,59,M Gibson,30,0,115,Running
17,26,90,D Trickle,30,0,112,Running
18,33,50,R Craven,30,0,109,Running
19,41,28,K Irwin Jr.,30,0,106,Running
20,38,44,K Petty,30,0,103,Running
21,22,7,G Bodine,30,0,100,Running
22,31,42,J Nemechek,30,0,97,Running
23,29,31,M Skinner,30,0,94,Running
24,16,12,J Mayfield,30,0,91,Running
25,12,3,D Earnhardt,30,0,88,Running
26,18,11,B Bodine,30,0,85,Running
27,39,46,W Dallenbach Jr.,30,0,82,Running
28,36,81,K Wallace,30,0,79,Running
29,17,43,J Andretti,29,0,76,Running
30,6,94,B Elliott,29,0,73,Running
31,20,26,J Benson Jr.,29,0,70,Running
32,34,98,G Sacks,29,0,67,Running
33,25,77,R Pressley,29,0,64,Running
34,15,40,S Marlin,29,0,61,Running
35,32,23,J Spencer,29,0,58,Running
36,24,30,D Cope,29,0,55,Running
37,4,99,J Burton,29,0,52,Running
38,42,96,D Green,29,0,49,Running
39,23,1,S Park,29,0,46,Running
40,11,4,B Hamilton,2,0,43,Retired
41,40,91,K Lepage,1,0,40,Retired
42,37,9,L Speed,0,0,37,Retired
