F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,25,T Barron,30,21,185,Running
2,6,6,M Martin,30,5,175,Running
3,10,12,J Mayfield,30,0,165,Running
4,11,22,W Burton,30,0,160,Running
5,19,3,D Earnhardt,30,0,155,Running
6,16,4,B Hamilton,30,0,150,Running
7,24,40,S Marlin,30,0,146,Running
8,14,18,B Labonte,30,0,142,Running
9,12,97,C Little,30,0,138,Running
10,17,21,M Waltrip,30,0,134,Running
11,25,7,G Bodine,30,0,130,Running
12,28,11,B Bodine,30,0,127,Running
13,33,59,M Gibson,30,0,124,Running
14,39,13,J Nadeau,30,0,121,Running
15,1,43,J Andretti,30,0,118,Running
16,7,01,C Barron,30,0,115,Running
17,4,24,J Gordon,30,0,112,Running
18,8,2,R Wallace,30,0,109,Running
19,15,5,T Labonte,30,0,106,Running
20,9,99,J Burton,30,0,103,Running
21,23,10,R Rudd,30,0,100,Running
22,5,94,B Elliott,30,4,102,Running
23,26,50,R Craven,30,0,94,Running
24,31,16,T Musgrave,30,0,91,Running
25,32,31,M Skinner,30,0,88,Running
26,27,36,E Irvan,30,0,85,Running
27,29,1,S Park,30,0,82,Running
28,35,81,K Wallace,30,0,79,Running
29,37,75,R Mast,30,0,76,Running
30,22,33,K Schrader,29,0,73,Running
31,21,77,R Pressley,29,0,70,Running
32,30,30,D Cope,29,0,67,Running
33,36,28,K Irwin Jr.,29,0,64,Running
34,3,88,D Jarrett,14,0,61,Header
35,13,42,J Nemechek,13,0,58,Retired
36,18,26,J Benson Jr.,13,0,55,Overheat
37,20,23,J Spencer,13,0,52,Retired
38,38,90,D Trickle,12,0,49,Retired
39,34,9,L Speed,12,0,46,Retired
