F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,6,M Martin,47,16,185,Running
2,4,2,R Wallace,47,1,175,Running
3,9,22,W Burton,47,0,165,Running
4,12,4,B Hamilton,47,8,165,Running
5,35,10,R Rudd,47,0,155,Running
6,7,94,B Elliott,47,0,150,Running
7,13,33,K Schrader,47,0,146,Running
8,8,25,T Barron,47,2,147,Running
9,19,40,S Marlin,47,0,138,Running
10,21,5,T Labonte,47,0,134,Running
11,16,75,R Mast,47,0,130,Running
12,18,36,E Irvan,47,0,127,Running
13,38,3,D Earnhardt,47,0,124,Running
14,15,97,C Little,47,0,121,Running
15,27,7,G Bodine,47,0,118,Running
16,26,77,R Pressley,47,0,115,Running
17,34,9,L Speed,47,0,112,Running
18,33,50,R Craven,47,0,109,Running
19,32,11,B Bodine,47,0,106,Running
20,37,59,M Gibson,47,0,103,Running
21,25,44,K Petty,47,0,100,Running
22,42,30,D Cope,47,0,97,Running
23,22,90,D Trickle,47,0,94,Running
24,41,98,G Sacks,47,0,91,Running
25,29,16,T Musgrave,47,0,88,Running
26,23,21,M Waltrip,47,0,85,Running
27,40,41,S Grissom,47,0,82,Running
28,24,31,M Skinner,47,0,79,Running
29,31,91,K Lepage,47,0,76,Running
30,39,42,J Nemechek,47,0,73,Running
31,1,12,J Mayfield,46,8,75,Running
32,10,88,D Jarrett,46,0,67,Running
33,28,26,J Benson Jr.,46,0,64,Running
34,6,24,J Gordon,46,0,61,Running
35,14,18,B Labonte,44,0,58,Accident
36,17,23,J Spencer,44,0,55,Accident
37,20,1,S Park,44,0,52,Accident
38,36,28,K Irwin Jr.,44,0,49,Running
39,3,99,J Burton,43,0,46,Accident
40,11,43,J Andretti,37,0,43,Susp
41,2,01,C Barron,32,12,45,Accident
42,30,81,K Wallace,3,0,37,Ignition
