F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,17,1,S Park,29,6,180,Running
2,16,02,C Barron,29,0,170,Running
3,4,2,R Wallace,29,1,170,Running
4,6,6,M Martin,29,0,160,Running
5,9,18,B LaBonte,29,0,155,Running
6,13,31,M Skinner,29,0,150,Running
7,3,99,J Burton,29,1,151,Running
8,37,7,M Waltrip,29,0,142,Running
9,10,40,S Marlin,29,0,138,Running
10,2,3,D Earnhardt,29,7,139,Running
11,7,88,D Jarrett,29,4,135,Running
12,14,17,M Kenseth,29,0,127,Running
13,5,28,R Rudd,29,0,124,Running
14,8,22,W Burton,29,0,121,Running
15,18,10,J Benson,29,0,118,Running
16,20,94,B Elliott,29,0,115,Running
17,21,11,B Bodine,29,0,112,Running
18,33,75,W Dallenbach,29,0,109,Running
19,15,25,T Barron,29,0,106,Running
20,25,71,D Marcis,29,0,103,Running
21,11,5,T Labonte,29,0,100,Running
22,12,24,J Gordon,29,0,97,Running
23,36,60,G Bodine,29,0,94,Running
24,19,8,D Earnhardt Jr.,28,0,91,Running
25,34,66,D Waltrip,28,0,88,Running
26,29,26,J Spencer,28,0,85,Running
27,40,21,E Sadler,28,0,82,Running
28,23,50,R Craven,28,0,79,Running
29,22,90,R Mast,28,0,76,Running
30,39,12,J Mayfield,28,0,73,Running
31,32,97,C Little,28,0,70,Running
32,27,9,S Compton,28,0,67,Running
33,41,42,K Irwin Jr.,28,0,64,Running
34,26,93,D Blaney,28,0,61,Running
35,30,77,R Pressley,28,0,58,Running
36,24,32,S Pruett,28,0,55,Running
37,28,01,T Musgrave,28,0,52,Running
38,31,44,K Petty,28,0,49,Running
39,35,43,J Andretti,28,0,46,Running
40,38,00,B Jones,27,0,43,Running
41,1,20,T Stewart,21,10,50,Header
