F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,3,02,C Barron,56,22,185,Running
2,2,25,T Barron,56,0,170,Running
3,7,6,M Martin,56,10,170,Running
4,8,24,J Gordon,56,0,160,Running
5,13,99,J Burton,56,6,160,Running
6,4,17,M Kenseth,56,0,150,Running
7,5,3,D Earnhardt,56,0,146,Running
8,12,22,W Burton,56,0,142,Running
9,27,20,T Stewart,56,0,138,Running
10,19,4,B Hamilton,56,0,134,Running
11,30,8,D Earnhardt Jr.,56,0,130,Running
12,29,5,T Labonte,56,0,127,Running
13,14,16,K Lepage,56,0,124,Running
14,1,88,D Jarrett,56,18,126,Running
15,17,26,J Benson,56,0,118,Running
16,28,97,C Little,56,0,115,Running
17,16,1,S Park,56,0,112,Running
18,25,28,K Irwin Jr.,56,0,109,Running
19,37,98,R Mast,56,0,106,Running
20,10,2,R Wallace,56,0,103,Running
21,42,11,B Bodine,56,0,100,Running
22,24,44,K Petty,56,0,97,Running
23,15,31,M Skinner,56,0,94,Running
24,6,18,B Labonte,56,0,91,Running
25,31,43,J Andretti,56,0,88,Running
26,26,55,K Wallace,56,0,85,Running
27,20,33,K Schrader,56,0,82,Running
28,34,42,J Nemechek,56,0,79,Running
29,38,36,E Irvan,56,0,76,Running
30,21,60,G Bodine,56,0,73,Running
31,39,45,R Bickle,56,0,70,Running
32,18,21,E Sadler,56,0,67,Running
33,11,23,J Spencer,55,0,64,Running
34,9,12,J Mayfield,55,0,61,Running
35,23,94,B Elliott,36,0,58,Accident
36,32,10,R Rudd,36,0,55,Accident
37,41,75,T Musgrave,36,0,52,Retired
38,36,66,D Waltrip,36,0,49,Retired
39,35,77,R Pressley,36,0,46,Accident
40,40,9,J Nadeau,36,0,43,Retired
41,22,7,M Waltrip,36,0,40,Retired
42,33,40,S Marlin,30,0,37,Header
