F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,8,25,T Barron,30,11,180,Running
2,1,02,C Barron,30,19,180,Running
3,2,88,D Jarrett,30,0,165,Running
4,11,6,M Martin,30,0,160,Running
5,4,18,B Labonte,30,0,155,Running
6,3,20,T Stewart,30,0,150,Running
7,5,31,M Skinner,30,0,146,Running
8,7,99,J Burton,30,0,142,Running
9,10,22,W Burton,30,0,138,Running
10,6,3,D Earnhardt,30,0,134,Running
11,35,24,J Gordon,30,0,130,Running
12,15,2,R Wallace,30,0,127,Running
13,9,8,D Earnhardt Jr.,30,0,124,Running
14,18,17,M Kenseth,30,0,121,Running
15,27,28,K Irwin Jr.,30,0,118,Running
16,14,43,J Andretti,30,0,115,Running
17,19,23,J Spencer,30,0,112,Running
18,31,1,S Park,30,0,109,Running
19,13,40,S Marlin,30,0,106,Running
20,16,12,J Mayfield,30,0,103,Running
21,17,4,B Hamilton,30,0,100,Running
22,21,33,K Schrader,30,0,97,Running
23,26,94,B Elliott,30,0,94,Running
24,30,21,E Sadler,30,0,91,Running
25,20,60,G Bodine,30,0,88,Running
26,33,10,R Rudd,30,0,85,Running
27,12,5,T Labonte,30,0,82,Running
28,36,55,K Wallace,30,0,79,Running
29,39,98,R Mast,30,0,76,Running
30,37,9,J Nadeau,30,0,73,Running
31,32,42,J Nemechek,30,0,70,Running
32,28,97,C Little,30,0,67,Running
33,25,26,J Benson,30,0,64,Running
34,22,16,K Lepage,30,0,61,Running
35,34,11,B Bodine,30,0,58,Running
36,38,36,E Irvan,29,0,55,Running
37,24,75,T Musgrave,29,0,52,Running
38,41,66,D Waltrip,29,0,49,Running
39,29,7,M Waltrip,29,0,46,Running
40,40,41,D Green,27,0,43,Header
41,42,45,R Bickle,24,0,40,Header
42,23,44,K Petty,11,0,37,Camshaft
