F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,3,D Earnhardt,60,48,185,Running
2,5,28,R Rudd,60,2,175,Running
3,10,99,J Burton,60,0,165,Running
4,2,25,T Barron,60,4,165,Running
5,6,88,D Jarrett,60,3,160,Running
6,4,24,J Gordon,60,1,155,Running
7,8,22,W Burton,60,0,146,Running
8,11,6,M Martin,60,0,142,Running
9,14,1,S Park,60,0,138,Running
10,16,8,D Earnhardt Jr.,60,0,134,Running
11,20,5,T Labonte,60,0,130,Running
12,9,2,R Wallace,60,0,127,Running
13,13,31,M Skinner,60,0,124,Running
14,3,02,C Barron,60,2,126,Running
15,15,40,S Marlin,60,0,118,Running
16,7,18,B LaBonte,60,0,115,Running
17,12,10,J Benson,60,0,112,Retired
18,17,17,M Kenseth,59,0,109,Running
19,18,94,B Elliott,59,0,106,Running
20,21,11,B Bodine,59,0,103,Running
21,22,12,J Mayfield,58,0,100,Running
22,26,75,W Dallenbach,58,0,97,Running
23,30,93,D Blaney,58,0,94,Running
24,36,26,J Spencer,58,0,91,Running
25,41,44,K Petty,58,0,88,Running
26,40,43,J Andretti,58,0,85,Running
27,25,50,R Craven,58,0,82,Running
28,32,32,S Pruett,58,0,79,Running
29,35,7,M Waltrip,58,0,76,Running
30,24,00,B Jones,58,0,73,Running
31,28,71,D Marcis,58,0,70,Running
32,23,77,R Pressley,58,0,67,Running
33,31,97,C Little,58,0,64,Running
34,33,9,S Compton,58,0,61,Running
35,38,21,E Sadler,58,0,58,Running
36,39,90,R Mast,57,0,55,Running
37,29,01,T Musgrave,54,0,52,Accident
38,37,66,D Waltrip,54,0,49,Accident
39,34,42,K Irwin Jr.,53,0,46,Running
40,27,60,G Bodine,51,0,43,Running
41,19,20,T Stewart,48,0,40,Accident
