F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,99,J Burton,17,10,185,Running
2,3,29,K Harvick,17,0,170,Running
3,14,8,D Earnhardt Jr.,17,0,165,Running
4,20,21,E Sadler,17,0,160,Running
5,12,15,M Waltrip,17,0,155,Running
6,6,2,R Wallace,17,0,150,Running
7,7,97,K Busch,17,0,146,Running
8,9,43,J Andretti,17,0,142,Running
9,41,1,S Park,17,0,138,Running
10,22,40,S Marlin,17,0,134,Running
11,11,48,J Johnson,17,0,130,Running
12,34,6,M Martin,17,0,127,Running
13,21,5,T Labonte,17,0,124,Running
14,19,24,J Gordon,17,0,121,Running
15,25,17,M Kenseth,17,0,118,Running
16,42,77,D Blaney,17,0,115,Running
17,1,12,R Newman,17,3,117,Running
18,24,55,B Hamilton,17,0,109,Running
19,33,25,T Barron,17,3,111,Running
20,18,36,K Schrader,17,0,103,Running
21,5,45,K Petty,17,0,100,Running
22,31,28,R Rudd,17,0,97,Running
23,15,41,J Spencer,17,0,94,Running
24,26,19,J Mayfield,17,0,91,Running
25,17,22,W Burton,17,0,88,Running
26,28,32,R Craven,17,0,85,Running
27,16,88,D Jarrett,17,0,82,Running
28,29,7,C Atwood,17,0,79,Running
29,10,31,R Gordon,17,0,76,Running
30,8,02,C Barron,17,1,78,Running
31,23,10,J Benson,17,0,70,Running
32,37,44,S Grissom,17,0,67,Running
33,35,14,S Compton,17,0,64,Running
34,39,9,B Elliott,17,0,61,Running
35,40,20,T Stewart,17,0,58,Running
36,32,23,H Stricklin,17,0,55,Running
37,27,4,M Skinner,17,0,52,Running
38,36,26,T Bodine,17,0,49,Running
39,30,11,B Bodine,16,0,46,Running
40,2,30,J Green,11,0,43,Clutch
41,38,09,G Bodine,7,0,40,Retired
42,13,18,B Labonte,6,0,37,Retired
