F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,02,C Barron,59,47,185,Running
2,1,25,T Barron,59,12,175,Running
3,13,28,R Rudd,59,0,165,Running
4,15,6,M Martin,59,0,160,Running
5,9,20,T Stewart,59,0,155,Running
6,18,99,J Burton,59,0,150,Running
7,11,40,S Marlin,59,0,146,Running
8,19,88,D Jarrett,59,0,142,Running
9,10,8,D Earnhardt Jr.,59,0,138,Running
10,5,26,J Spencer,59,0,134,Running
11,12,17,M Kenseth,59,0,130,Running
12,26,9,B Elliott,59,0,127,Running
13,7,32,R Craven,59,0,124,Running
14,14,77,R Pressley,59,0,121,Running
15,27,15,M Waltrip,59,0,118,Running
16,6,21,E Sadler,59,0,115,Running
17,25,5,T Labonte,59,0,112,Running
18,22,22,W Burton,59,0,109,Running
19,24,29,K Harvick,58,0,106,Running
20,35,55,B Hamilton,58,0,103,Running
21,34,36,K Schrader,58,0,100,Running
22,39,19,C Atwood,58,0,97,Running
23,17,10,J Benson,58,0,94,Running
24,29,92,S Compton,58,0,91,Running
25,36,11,B Bodine,58,0,88,Running
26,23,31,M Skinner,58,0,85,Running
27,37,66,T Bodine,58,0,82,Running
28,3,2,R Wallace,58,0,79,Running
29,30,93,D Blaney,58,0,76,Running
30,20,1,S Park,58,0,73,Running
31,4,24,J Gordon,58,0,70,Running
32,40,14,R Hornaday,58,0,67,Running
33,33,12,J Mayfield,58,0,64,Running
34,21,43,J Andretti,58,0,61,Running
35,41,27,K Wallace,57,0,58,Running
36,16,97,K Busch,57,0,55,Running
37,42,44,B Jones,57,0,52,Running
38,32,01,J Leffler,57,0,49,Running
39,8,18,B Labonte,44,0,46,Accident
40,28,4,K Lepage,43,0,43,Accident
41,31,33,J Nemechek,41,0,40,Retired
42,38,7,M Wallace,23,0,37,Retired
