F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,88,D Jarrett,56,3,180,Running
2,1,25,T Barron,56,7,175,Running
3,31,14,R Hornaday,56,0,165,Running
4,2,02,C Barron,56,2,165,Running
5,35,01,J Leffler,56,0,155,Running
6,27,43,J Andretti,56,0,150,Running
7,22,15,M Waltrip,56,0,146,Running
8,36,92,S Compton,56,0,142,Running
9,15,4,K Lepage,55,0,138,Running
10,5,24,J Gordon,55,14,139,Running
11,19,36,K Schrader,55,0,130,Running
12,30,11,B Bodine,55,0,127,Running
13,4,20,T Stewart,55,27,134,Running
14,12,29,K Harvick,55,0,121,Running
15,13,17,M Kenseth,55,0,118,Running
16,28,22,W Burton,55,0,115,Running
17,18,55,B Hamilton,55,0,112,Running
18,11,6,M Martin,55,0,109,Running
19,25,77,R Pressley,55,0,106,Running
20,8,18,B Labonte,55,0,103,Running
21,9,40,S Marlin,55,1,105,Running
22,14,26,J Spencer,55,0,97,Running
23,26,9,B Elliott,55,0,94,Running
24,21,33,J Nemechek,55,0,91,Running
25,32,10,J Benson,55,0,88,Running
26,38,21,E Sadler,55,0,85,Running
27,10,8,D Earnhardt Jr.,55,0,82,Running
28,40,1,S Park,55,0,79,Running
29,37,5,T Labonte,55,0,76,Running
30,20,19,C Atwood,55,0,73,Running
31,23,12,J Mayfield,55,0,70,Running
32,41,27,K Wallace,55,0,67,Running
33,33,7,M Wallace,55,0,64,Running
34,29,90,H Stricklin,55,0,61,Running
35,17,2,R Wallace,55,2,63,Running
36,34,97,K Busch,55,0,55,Running
37,7,28,R Rudd,55,0,52,Running
38,16,32,R Craven,54,0,49,Running
39,3,99,J Burton,54,0,46,Running
40,39,66,T Bodine,49,0,43,Retired
41,24,93,D Blaney,43,0,40,Ignition
42,42,44,B Jones,37,0,37,Header
