F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,25,T Barron,60,49,185,Running
2,7,01,C Barron,60,5,175,Running
3,4,6,M Martin,60,1,170,Running
4,1,24,J Gordon,60,4,165,Running
5,24,40,S Marlin,60,0,155,Running
6,8,43,J Andretti,59,0,150,Running
7,12,4,B Hamilton,59,0,146,Running
8,10,33,K Schrader,59,0,142,Running
9,13,10,R Rudd,59,0,138,Running
10,29,18,B Labonte,59,0,134,Running
11,6,5,T Labonte,59,1,135,Running
12,2,94,B Elliott,59,0,127,Running
13,31,2,R Wallace,59,0,124,Running
14,11,97,C Little,59,0,121,Running
15,17,28,K Irwin Jr.,59,0,118,Running
16,9,12,J Mayfield,59,0,115,Running
17,32,50,R Craven,59,0,112,Running
18,14,11,B Bodine,59,0,109,Running
19,3,88,D Jarrett,59,0,106,Running
20,26,99,J Burton,59,0,103,Running
21,27,31,M Skinner,59,0,100,Running
22,22,22,W Burton,59,0,97,Running
23,37,36,E Irvan,59,0,94,Running
24,35,16,T Musgrave,58,0,91,Running
25,23,23,J Spencer,58,0,88,Running
26,16,30,D Cope,58,0,85,Running
27,18,59,M Gibson,58,0,82,Running
28,30,77,R Pressley,58,0,79,Running
29,21,26,J Benson Jr.,58,0,76,Running
30,19,90,D Trickle,58,0,73,Running
31,34,9,L Speed,58,0,70,Running
32,36,44,K Petty,58,0,67,Running
33,28,1,S Park,58,0,64,Running
34,15,3,D Earnhardt,58,0,61,Running
35,33,42,J Nemechek,58,0,58,Running
36,39,13,J Nadeau,57,0,55,Running
37,20,21,M Waltrip,56,0,52,Clutch
38,25,7,G Bodine,39,0,49,Camshaft
