F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,6,25,T Barron,30,17,185,Running
2,7,6,M Martin,30,1,175,Running
3,9,88,D Jarrett,30,6,170,Running
4,3,20,T Stewart,30,1,165,Running
5,11,18,B Labonte,30,0,155,Running
6,4,2,R Wallace,30,0,150,Running
7,17,24,J Gordon,30,0,146,Running
8,10,99,J Burton,30,0,142,Running
9,5,3,D Earnhardt,30,0,138,Running
10,13,12,J Mayfield,30,0,134,Running
11,2,17,M Kenseth,30,0,130,Running
12,19,31,M Skinner,30,0,127,Running
13,16,22,W Burton,30,0,124,Running
14,24,94,B Elliott,30,0,121,Running
15,29,16,K Lepage,30,0,118,Running
16,18,4,B Hamilton,30,0,115,Running
17,31,42,J Nemechek,30,0,112,Running
18,26,97,C Little,30,0,109,Running
19,21,43,J Andretti,30,0,106,Running
20,30,40,S Marlin,30,0,103,Running
21,14,8,D Earnhardt Jr.,30,0,100,Running
22,35,26,J Benson,30,0,97,Running
23,23,98,R Mast,30,0,94,Running
24,32,5,T Labonte,30,0,91,Running
25,25,7,M Waltrip,30,0,88,Running
26,28,10,R Rudd,30,0,85,Running
27,36,60,G Bodine,30,0,82,Running
28,27,55,K Wallace,30,0,79,Running
29,20,21,E Sadler,30,0,76,Running
30,8,23,J Spencer,30,0,73,Running
31,22,28,K Irwin Jr.,30,0,70,Running
32,34,44,K Petty,30,0,67,Running
33,12,1,S Park,30,4,69,Running
34,37,9,J Nadeau,30,0,61,Running
35,41,36,E Irvan,30,0,58,Running
36,15,33,K Schrader,30,0,55,Running
37,42,77,R Pressley,30,0,52,Running
38,33,75,T Musgrave,30,0,49,Running
39,39,11,B Bodine,30,0,46,Running
40,38,45,R Bickle,30,0,43,Running
41,40,66,D Waltrip,30,0,40,Running
42,1,02,C Barron,17,1,42,Camshaft
